arm,config,seed,M,image,PSNR
mave_unperm,default,0,10000,truck,31.880854942284053
whiten_lw,-,0,10000,truck,22.579984568439798
mave_perm0,default,1,20000,cat,4.06386720544292
mave_perm0,default,1,20000,deer,6.218684823846605
mave_perm0,default,1,20000,dog,-0.9996526217113173
mave_perm0,default,1,20000,horse,2.1574915676292807
mave_perm0,default,1,20000,airplane,2.3137386705381617
mave_perm0,default,1,20000,car,5.012185127027234
mave_perm0,default,1,20000,ship,0.287355869058339
mave_perm0,default,1,20000,truck,5.191958627559366
mave_perm1,default,1,20000,cat,4.2453610503283095
mave_perm1,default,1,20000,deer,6.1317387542946475
mave_perm1,default,1,20000,dog,-0.4592351905035564
mave_perm1,default,1,20000,horse,2.7724915456806496
mave_perm1,default,1,20000,airplane,2.859558233735174
mave_perm1,default,1,20000,car,5.747428522363036
mave_perm1,default,1,20000,ship,-0.019049851182890157
mave_perm1,default,1,20000,truck,4.862083969040651
mave_perm2,default,1,20000,cat,4.090625055427732
mave_perm2,default,1,20000,deer,6.197587647512083
mave_perm2,default,1,20000,dog,-1.099951501998392
mave_perm2,default,1,20000,horse,2.1190158035941384
mave_perm2,default,1,20000,airplane,3.1995720343217284
mave_perm2,default,1,20000,car,5.378198887596951
mave_perm2,default,1,20000,ship,0.6710599889246637
mave_perm2,default,1,20000,truck,4.977913430910251
mave_unperm,default,1,20000,cat,29.92175803225006
mave_noise,default,1,20000,cat,4.534988272904104
whiten_lw,-,1,20000,cat,24.099967343523442
l_isotron,-,1,20000,cat,24.12706714503979
mle_renewal,best_of,1,20000,cat,32.83597170512255
mave_lin,default,1,20000,cat,32.2776105294066
whiten_lw_lin,-,1,20000,cat,24.295192974809993
mave_unperm,default,1,20000,deer,34.51017122946989
mave_noise,default,1,20000,deer,7.288296748138695
whiten_lw,-,1,20000,deer,26.338241175279297
l_isotron,-,1,20000,deer,26.36615678994765
mle_renewal,best_of,1,20000,deer,37.42622154077474
mave_lin,default,1,20000,deer,35.025310712219294
whiten_lw_lin,-,1,20000,deer,26.61048033521915
mave_unperm,default,1,20000,dog,25.321262440168397
mave_noise,default,1,20000,dog,-0.7630838850808547
whiten_lw,-,1,20000,dog,19.478322256235035
l_isotron,-,1,20000,dog,19.505950764476257
mle_renewal,best_of,1,20000,dog,28.118536966593712
mave_lin,default,1,20000,dog,27.508949021826815
whiten_lw_lin,-,1,20000,dog,19.58043414956618
mave_unperm,default,1,20000,horse,29.36549034296131
mave_noise,default,1,20000,horse,3.1824584113257326
whiten_lw,-,1,20000,horse,22.417575041804426
l_isotron,-,1,20000,horse,22.445896681431805
mle_renewal,best_of,1,20000,horse,32.05445001886093
mave_lin,default,1,20000,horse,30.563775804212835
whiten_lw_lin,-,1,20000,horse,22.75740731551565
mave_unperm,default,1,20000,airplane,28.83299140701339
mave_noise,default,1,20000,airplane,4.0501151158754025
whiten_lw,-,1,20000,airplane,23.165593322908112
l_isotron,-,1,20000,airplane,22.885896523551608
mle_renewal,best_of,1,20000,airplane,31.859955746677045
mave_lin,default,1,20000,airplane,30.92644522891666
whiten_lw_lin,-,1,20000,airplane,23.497552646213727
mave_unperm,default,1,20000,car,32.54894850045277
mave_noise,default,1,20000,car,5.915596350314615
whiten_lw,-,1,20000,car,26.02342182443472
l_isotron,-,1,20000,car,26.05248142098509
mle_renewal,best_of,1,20000,car,36.782032073390766
mave_lin,default,1,20000,car,35.37943647595305
whiten_lw_lin,-,1,20000,car,26.130254065415205
mave_unperm,default,1,20000,ship,27.312929474190174
mave_noise,default,1,20000,ship,0.37900320594669024
whiten_lw,-,1,20000,ship,20.833793648447653
l_isotron,-,1,20000,ship,20.86098736834137
mle_renewal,best_of,1,20000,ship,29.673515069282796
mave_lin,default,1,20000,ship,28.124579582644227
whiten_lw_lin,-,1,20000,ship,20.986198953658686
mave_unperm,default,1,20000,truck,32.68238176414472
mave_noise,default,1,20000,truck,5.812170298515347
whiten_lw,-,1,20000,truck,25.480614633934753
l_isotron,-,1,20000,truck,25.508731362896633
mle_renewal,best_of,1,20000,truck,35.299328162105375
mave_lin,default,1,20000,truck,33.85998486997727
whiten_lw_lin,-,1,20000,truck,25.281647407300866
mave_unperm,default,1,5000,cat,25.738019974148585
whiten_lw,-,1,5000,cat,18.058113280029037
mave_unperm,default,1,5000,deer,30.87117730349711
whiten_lw,-,1,5000,deer,21.11312863026747
mave_unperm,default,1,5000,dog,20.180853415178017
whiten_lw,-,1,5000,dog,13.43904527391878
mave_unperm,default,1,5000,horse,24.770311598051986
whiten_lw,-,1,5000,horse,16.395893324484575
mave_unperm,default,1,5000,airplane,25.38459911496615
whiten_lw,-,1,5000,airplane,17.236677326483544
mave_unperm,default,1,5000,car,29.192931468623442
whiten_lw,-,1,5000,car,20.318991691640548
