illum,cv,rho,seed,image,arm,readout,PSNR,SSIM
GAM4,0.02,0.99,0,cat,L2,plain,9.17979,0.167598
GAM4,0.02,0.99,0,deer,L2,plain,11.6056,0.174729
GAM4,0.02,0.99,0,dog,L2,plain,2.92029,0.0186497
GAM4,0.02,0.99,0,horse,L2,plain,6.94416,0.135428
GAM4,0.02,0.99,0,airplane,L2,plain,7.38632,0.0755708
GAM4,0.02,0.99,0,car,L2,plain,11.0337,0.214514
GAM4,0.02,0.99,0,ship,L2,plain,4.36712,0.0338323
GAM4,0.02,0.99,0,truck,L2,plain,12.5262,0.345216
GAM4,0.02,0.99,0,cat,L2,whiten,9.91796,0.191812
GAM4,0.02,0.99,0,deer,L2,whiten,12.6716,0.219451
GAM4,0.02,0.99,0,dog,L2,whiten,3.4282,0.0228856
GAM4,0.02,0.99,0,horse,L2,whiten,7.59096,0.162818
GAM4,0.02,0.99,0,airplane,L2,whiten,8.02315,0.0888077
GAM4,0.02,0.99,0,car,L2,whiten,12.059,0.260302
GAM4,0.02,0.99,0,ship,L2,whiten,4.92746,0.0395912
GAM4,0.02,0.99,0,truck,L2,whiten,13.5258,0.400833
GAM4,0.02,0.99,0,cat,L2,ratio,9.17749,0.167824
GAM4,0.02,0.99,0,deer,L2,ratio,11.6043,0.174545
GAM4,0.02,0.99,0,dog,L2,ratio,2.92117,0.0185858
GAM4,0.02,0.99,0,horse,L2,ratio,6.9487,0.135152
GAM4,0.02,0.99,0,airplane,L2,ratio,7.38283,0.0755661
GAM4,0.02,0.99,0,car,L2,ratio,11.0385,0.214873
GAM4,0.02,0.99,0,ship,L2,ratio,4.36257,0.0336566
GAM4,0.02,0.99,0,truck,L2,ratio,12.5264,0.345099
GAM4,0.02,0.99,0,cat,L4,plain,10.0436,0.200811
GAM4,0.02,0.99,0,deer,L4,plain,12.717,0.221019
GAM4,0.02,0.99,0,dog,L4,plain,3.9019,0.0262668
GAM4,0.02,0.99,0,horse,L4,plain,7.92406,0.171246
GAM4,0.02,0.99,0,airplane,L4,plain,8.34799,0.0997149
GAM4,0.02,0.99,0,car,L4,plain,12.2269,0.2698
GAM4,0.02,0.99,0,ship,L4,plain,5.21361,0.0442702
GAM4,0.02,0.99,0,truck,L4,plain,13.531,0.407029
GAM4,0.02,0.99,0,cat,L4,whiten,10.5476,0.221557
GAM4,0.02,0.99,0,deer,L4,whiten,13.3954,0.249352
GAM4,0.02,0.99,0,dog,L4,whiten,4.33802,0.0296079
GAM4,0.02,0.99,0,horse,L4,whiten,8.43109,0.191839
GAM4,0.02,0.99,0,airplane,L4,whiten,8.81692,0.110708
GAM4,0.02,0.99,0,car,L4,whiten,12.9521,0.300968
GAM4,0.02,0.99,0,ship,L4,whiten,5.65672,0.0500936
GAM4,0.02,0.99,0,truck,L4,whiten,14.1806,0.445
GAM4,0.02,0.99,0,cat,L4,ratio,10.0442,0.200893
GAM4,0.02,0.99,0,deer,L4,ratio,12.7149,0.220824
GAM4,0.02,0.99,0,dog,L4,ratio,3.90285,0.0262122
GAM4,0.02,0.99,0,horse,L4,ratio,7.92569,0.171057
GAM4,0.02,0.99,0,airplane,L4,ratio,8.34479,0.0997372
GAM4,0.02,0.99,0,car,L4,ratio,12.2317,0.270225
GAM4,0.02,0.99,0,ship,L4,ratio,5.2085,0.0441031
GAM4,0.02,0.99,0,truck,L4,ratio,13.5311,0.407
GAM4,0.02,0.99,0,cat,L8,plain,10.4558,0.218236
GAM4,0.02,0.99,0,deer,L8,plain,13.1106,0.234857
GAM4,0.02,0.99,0,dog,L8,plain,4.23743,0.0284236
GAM4,0.02,0.99,0,horse,L8,plain,8.22696,0.188186
GAM4,0.02,0.99,0,airplane,L8,plain,8.73194,0.107945
GAM4,0.02,0.99,0,car,L8,plain,12.5978,0.283006
GAM4,0.02,0.99,0,ship,L8,plain,5.57196,0.0484787
GAM4,0.02,0.99,0,truck,L8,plain,13.9589,0.436184
GAM4,0.02,0.99,0,cat,L8,whiten,10.7275,0.229526
GAM4,0.02,0.99,0,deer,L8,whiten,13.4615,0.249522
GAM4,0.02,0.99,0,dog,L8,whiten,4.48212,0.0301103
GAM4,0.02,0.99,0,horse,L8,whiten,8.50182,0.199464
GAM4,0.02,0.99,0,airplane,L8,whiten,8.98313,0.113816
GAM4,0.02,0.99,0,car,L8,whiten,12.9753,0.299628
GAM4,0.02,0.99,0,ship,L8,whiten,5.8251,0.0522353
GAM4,0.02,0.99,0,truck,L8,whiten,14.3102,0.456764
GAM4,0.02,0.99,0,cat,L8,ratio,10.4545,0.21826
GAM4,0.02,0.99,0,deer,L8,ratio,13.1064,0.234629
GAM4,0.02,0.99,0,dog,L8,ratio,4.23685,0.0283709
GAM4,0.02,0.99,0,horse,L8,ratio,8.23029,0.188107
GAM4,0.02,0.99,0,airplane,L8,ratio,8.72537,0.107798
GAM4,0.02,0.99,0,car,L8,ratio,12.6,0.28326
GAM4,0.02,0.99,0,ship,L8,ratio,5.56573,0.0484443
GAM4,0.02,0.99,0,truck,L8,ratio,13.9589,0.43621
GAM4,0.02,0.99,0,cat,L16,plain,10.5341,0.220876
GAM4,0.02,0.99,0,deer,L16,plain,13.2464,0.242152
GAM4,0.02,0.99,0,dog,L16,plain,4.38547,0.0290858
GAM4,0.02,0.99,0,horse,L16,plain,8.29316,0.193666
GAM4,0.02,0.99,0,airplane,L16,plain,8.78616,0.107361
GAM4,0.02,0.99,0,car,L16,plain,12.6323,0.282081
GAM4,0.02,0.99,0,ship,L16,plain,5.63018,0.050646
GAM4,0.02,0.99,0,truck,L16,plain,14.0764,0.44631
GAM4,0.02,0.99,0,cat,L16,whiten,10.6735,0.22669
GAM4,0.02,0.99,0,deer,L16,whiten,13.4208,0.249328
GAM4,0.02,0.99,0,dog,L16,whiten,4.50984,0.0299938
GAM4,0.02,0.99,0,horse,L16,whiten,8.42907,0.199306
GAM4,0.02,0.99,0,airplane,L16,whiten,8.90602,0.110169
GAM4,0.02,0.99,0,car,L16,whiten,12.8207,0.290467
GAM4,0.02,0.99,0,ship,L16,whiten,5.75769,0.052707
GAM4,0.02,0.99,0,truck,L16,whiten,14.2554,0.456783
GAM4,0.02,0.99,0,cat,L16,ratio,10.5345,0.220968
GAM4,0.02,0.99,0,deer,L16,ratio,13.2423,0.242039
GAM4,0.02,0.99,0,dog,L16,ratio,4.38312,0.0289926
GAM4,0.02,0.99,0,horse,L16,ratio,8.29858,0.19374
GAM4,0.02,0.99,0,airplane,L16,ratio,8.77724,0.107059
GAM4,0.02,0.99,0,car,L16,ratio,12.638,0.282402
GAM4,0.02,0.99,0,ship,L16,ratio,5.62686,0.0506209
GAM4,0.02,0.99,0,truck,L16,ratio,14.0752,0.446164
GAM4,0.02,0.99,0,cat,L32,plain,10.395,0.214829
GAM4,0.02,0.99,0,deer,L32,plain,13.1115,0.236654
GAM4,0.02,0.99,0,dog,L32,plain,4.24678,0.02928
GAM4,0.02,0.99,0,horse,L32,plain,8.11369,0.186169
GAM4,0.02,0.99,0,airplane,L32,plain,8.65323,0.101363
GAM4,0.02,0.99,0,car,L32,plain,12.463,0.275635
GAM4,0.02,0.99,0,ship,L32,plain,5.44973,0.0443991
GAM4,0.02,0.99,0,truck,L32,plain,14.0371,0.444825
GAM4,0.02,0.99,0,cat,L32,whiten,10.4584,0.217546
GAM4,0.02,0.99,0,deer,L32,whiten,13.1899,0.239983
GAM4,0.02,0.99,0,dog,L32,whiten,4.29881,0.0296881
GAM4,0.02,0.99,0,horse,L32,whiten,8.17415,0.188703
GAM4,0.02,0.99,0,airplane,L32,whiten,8.70687,0.102641
GAM4,0.02,0.99,0,car,L32,whiten,12.5463,0.279436
GAM4,0.02,0.99,0,ship,L32,whiten,5.50466,0.0452588
GAM4,0.02,0.99,0,truck,L32,whiten,14.1171,0.449513
GAM4,0.02,0.99,0,cat,L32,ratio,10.396,0.215068
GAM4,0.02,0.99,0,deer,L32,ratio,13.1063,0.236424
GAM4,0.02,0.99,0,dog,L32,ratio,4.24644,0.0291846
GAM4,0.02,0.99,0,horse,L32,ratio,8.11958,0.186234
GAM4,0.02,0.99,0,airplane,L32,ratio,8.64837,0.101128
GAM4,0.02,0.99,0,car,L32,ratio,12.4698,0.276028
GAM4,0.02,0.99,0,ship,L32,ratio,5.44922,0.0443962
GAM4,0.02,0.99,0,truck,L32,ratio,14.0382,0.444801
GAM4,0.02,0.99,0,cat,L64,plain,9.92897,0.193914
GAM4,0.02,0.99,0,deer,L64,plain,12.7426,0.217557
GAM4,0.02,0.99,0,dog,L64,plain,3.81121,0.0267483
GAM4,0.02,0.99,0,horse,L64,plain,7.81307,0.17388
GAM4,0.02,0.99,0,airplane,L64,plain,8.34757,0.0959868
GAM4,0.02,0.99,0,car,L64,plain,12.1957,0.265981
GAM4,0.02,0.99,0,ship,L64,plain,5.06416,0.0393755
GAM4,0.02,0.99,0,truck,L64,plain,13.5946,0.419848
GAM4,0.02,0.99,0,cat,L64,whiten,9.9537,0.194893
GAM4,0.02,0.99,0,deer,L64,whiten,12.7757,0.218846
GAM4,0.02,0.99,0,dog,L64,whiten,3.83156,0.026901
GAM4,0.02,0.99,0,horse,L64,whiten,7.83782,0.174982
GAM4,0.02,0.99,0,airplane,L64,whiten,8.3693,0.0964468
GAM4,0.02,0.99,0,car,L64,whiten,12.2323,0.267637
GAM4,0.02,0.99,0,ship,L64,whiten,5.08601,0.0396825
GAM4,0.02,0.99,0,truck,L64,whiten,13.6292,0.421868
GAM4,0.02,0.99,0,cat,L64,ratio,9.93063,0.194065
GAM4,0.02,0.99,0,deer,L64,ratio,12.7432,0.217625
GAM4,0.02,0.99,0,dog,L64,ratio,3.81173,0.0266928
GAM4,0.02,0.99,0,horse,L64,ratio,7.8172,0.17396
GAM4,0.02,0.99,0,airplane,L64,ratio,8.34335,0.0957892
GAM4,0.02,0.99,0,car,L64,ratio,12.2022,0.266281
GAM4,0.02,0.99,0,ship,L64,ratio,5.06603,0.0394243
GAM4,0.02,0.99,0,truck,L64,ratio,13.5946,0.419876
GAM4,0.02,0.99,0,cat,RAW,plain,13.9448,0.100686
GAM4,0.02,0.99,0,deer,RAW,plain,11.3685,0.128222
GAM4,0.02,0.99,0,dog,RAW,plain,18.1157,0.467218
GAM4,0.02,0.99,0,horse,RAW,plain,12.5393,0.150452
GAM4,0.02,0.99,0,airplane,RAW,plain,15.014,0.327453
GAM4,0.02,0.99,0,car,RAW,plain,10.6827,0.0773159
GAM4,0.02,0.99,0,ship,RAW,plain,12.5308,0.404585
GAM4,0.02,0.99,0,truck,RAW,plain,12.5338,0.0532544
GAM4,0.02,0.99,0,cat,RAW,whiten,13.9448,0.100686
GAM4,0.02,0.99,0,deer,RAW,whiten,11.3685,0.128222
GAM4,0.02,0.99,0,dog,RAW,whiten,18.1157,0.467218
GAM4,0.02,0.99,0,horse,RAW,whiten,12.5393,0.150452
GAM4,0.02,0.99,0,airplane,RAW,whiten,15.014,0.327453
GAM4,0.02,0.99,0,car,RAW,whiten,10.6827,0.0773159
GAM4,0.02,0.99,0,ship,RAW,whiten,12.5308,0.404585
GAM4,0.02,0.99,0,truck,RAW,whiten,12.5338,0.0532544
GAM4,0.02,0.99,0,cat,GLOBAL,plain,8.17616,0.129148
GAM4,0.02,0.99,0,deer,GLOBAL,plain,10.9578,0.150679
GAM4,0.02,0.99,0,dog,GLOBAL,plain,1.67193,0.0126209
GAM4,0.02,0.99,0,horse,GLOBAL,plain,5.71455,0.0879982
GAM4,0.02,0.99,0,airplane,GLOBAL,plain,6.4389,0.055948
GAM4,0.02,0.99,0,car,GLOBAL,plain,10.0412,0.169878
GAM4,0.02,0.99,0,ship,GLOBAL,plain,3.03969,0.0191571
GAM4,0.02,0.99,0,truck,GLOBAL,plain,11.5313,0.284965
GAM4,0.02,0.99,0,cat,GLOBAL,whiten,8.17616,0.129148
GAM4,0.02,0.99,0,deer,GLOBAL,whiten,10.9578,0.150679
GAM4,0.02,0.99,0,dog,GLOBAL,whiten,1.67193,0.0126209
GAM4,0.02,0.99,0,horse,GLOBAL,whiten,5.71455,0.0879982
