# PROVENANCE: results/round63_theory/fisher_ridge.csv (COPIED verbatim)
# I_exact = exact count-Fisher information about log-lambda per unit time (tau units);
# it RISES to a peak at rho_star then DECLINES (dead-time count saturation).
"# I_clt   = CLT proxy rho/(1+rho) (no-dead-time reference, monotone to 1)."
nu,rho,I_exact,I_clt,ratio
20,0.01,0.009903425139912757,0.009900990099009903,1.0002459391311882
20,0.01200315505050112,0.011864278038400736,0.011860788171062708,1.0002942357023576
20,0.014407573116637049,0.014207939568585393,0.014202943174380717,1.0003517858336355
20,0.017293633402042617,0.01700679202411496,0.016999647726300113,1.0004202615212898
20,0.020757816311124264,0.02034589198625469,0.020335691757071332,1.000501592436845
20,0.024915928769224573,0.024324754285171814,0.024310217130828465,1.0005979853764824
20,0.029906975624424414,0.029059194814380258,0.029038521276440576,1.0007119349412759
20,0.035897806551152364,0.0346831354598995,0.03465381075636028,1.000846218724555
20,0.04308869380063767,0.04135022209520818,0.04130875356690722,1.0010038678178415
20,0.05172002726126204,0.049235038280393315,0.049176611570233106,1.0011880995516895
20,0.06208035064330728,0.05853361221945491,0.05845165161534614,1.0014021948369933
20,0.07451600743610944,0.0694628148165787,0.06934843866487503,1.0016492967095683
20,0.0894427190999916,0.08225813968471371,0.08209951522176571,1.0019320998731787
20,0.10735948254956168,0.09716925721621103,0.09695088563505995,1.0022523938767622
20,0.1288652515183958,0.1144526710635424,0.11415467997182463,1.0026104150245203
20,0.15467895945971294,0.1343608168477033,0.13395841172345338,1.0030039556237844
20,0.18566355334451115,0.1571270823456636,0.15659041961844294,1.003427174718149
20,0.22285484180211532,0.1829465536588744,0.18224145187477456,1.003869052714661
20,0.26749612199056877,0.21195284867858266,0.21104295101942658,1.0043114335482939
20,0.32107974276605594,0.2441921919493694,0.24304342302137213,1.004726599525782
20,0.38539699359959834,0.27959683987062,0.27818523887383595,1.0050743202712644
20,0.46259798701729665,0.31796089740545014,0.31628512491028477,1.0052982968947424
20,0.5552635364218317,0.35892217916784286,0.3570221531068087,1.0053218716107675
20,0.6664914321560819,0.40195370044146655,0.3999369089427512,1.005042774131667
20,0.7999999999999999,0.4463673417731481,0.44444444444444453,1.004326518989583
20,0.9602524040400896,0.4913301469337615,0.4898616127499727,1.0029978552014818
20,1.1526058493309639,0.5358908863926337,0.5354467701038707,1.0008294312592023
20,1.3834906721634086,0.5790116250024454,0.5804472777347454,0.9975266440426722
20,1.6606253048899418,0.6195969754994028,0.6241485044278469,0.9927076186257686
20,1.9932743015379657,0.656513357405376,0.6659176877019948,0.9858776385275603
20,2.392558049953952,0.6885925041597878,0.7052371734616086,0.9763984799324721
20,2.8718245240921902,0.7146182702077958,0.7417238323230916,0.9634559913891391
20,3.4470955040510134,0.7333001871426711,0.7751341298856604,0.9460300596631447
20,4.137602180900961,0.7432488157884353,0.805356669358811,0.9228815555475275
20,4.966428051464585,0.7432511906311869,0.8323955319037946,0.892906271290617
20,5.961280594888754,0.7307724436577565,0.8563482700676882,0.8533589302399059
20,7.155417527999324,0.7034904140043517,0.8773821209561884,0.801806188206427
20,8.588758603964937,0.6829711099144978,0.895711213379957,0.7624902978911177
20,10.309220121471665,0.6336765148090904,0.911576572985665,0.6951434839243672
20,12.374316756777032,0.4793778108391516,0.9252298253297104,0.5181175505970345
20,14.853084267560883,0.4137410678809516,0.9369207919971615,0.4415966337976253
20,17.828387344169222,0.5613883814355682,0.946888706838205,0.5928768369306285
20,21.399689759245497,0.6305339883582605,0.9553565245435038,0.6599986205773256
20,25.68637942128446,0.4212199287548827,0.9625277005841258,0.437618500225249
20,30.831759487967876,0.13355007526952062,0.9685848342634656,0.1378816501613668
20,37.00783896138373,0.015278433068047789,0.9736896380502978,0.01569127622497976
20,44.4210829137465,0.0004900464790638623,0.9779837921984604,0.000501078323560211
20,53.31931457248657,3.4453352282962483e-06,0.9815903420749992,3.509952248524675e-06
20,64.0,3.9779282327253086e-09,0.9846153846153847,4.040083361361641e-09
50,0.01,0.009901964007105878,0.009900990099009903,1.0000983647176935
50,0.01200315505050112,0.011862183910676888,0.011860788171062706,1.0001176768014108
50,0.014407573116637049,0.014204941350247831,0.01420294317438072,1.0001406874506626
50,0.017293633402042617,0.01700250475887268,0.01699964772630012,1.0001680642221862
50,0.020757816311124264,0.020339770632865562,0.020335691757071336,1.0002005771843394
50,0.024915928769224573,0.02431602986217488,0.024310217130828465,1.0002391065170309
50,0.029906975624424414,0.029046786987567862,0.029038521276440576,1.0002846464201327
50,0.035897806551152364,0.034665534234721684,0.03465381075636029,1.0003383027178114
50,0.04308869380063767,0.04132532996156936,0.04130875356690722,1.0004012804364888
50,0.05172002726126204,0.04919996337810494,0.04917661157023309,1.000474855975762
50,0.06208035064330728,0.05848440363828161,0.05845165161534615,1.0005603267320997
50,0.07451600743610944,0.06939413434315847,0.06934843866487503,1.0006589287251912
50,0.0894427190999916,0.08216287222784942,0.0820995152217657,1.000771709868354
50,0.10735948254956168,0.09703807780094989,0.09695088563505991,1.0008993436761184
50,0.1288652515183958,0.1142736137435064,0.1141546799718246,1.001041865052849
50,0.15467895945971294,0.1341189350229697,0.13395841172345332,1.0011983069778982
50,0.18566355334451115,0.15680435576661156,0.15659041961844294,1.0013662147958342
50,0.22285484180211532,0.18252228846325885,0.1822414518747746,1.001541013779221
50,0.26749612199056877,0.21140493295716936,0.2110429510194266,1.001715205061312
50,0.32107974276605594,0.24349970409119215,0.24304342302137208,1.001877364399118
50,0.38539699359959834,0.2787446455438415,0.2781852388738359,1.0020109142824047
50,0.46259798701729665,0.3169469918750372,0.3162851249102847,1.0020926275459217
50,0.5552635364218317,0.35776861262914544,0.35702215310680857,1.0020907932906717
50,0.6664914321560819,0.40072195465900357,0.3999369089427512,1.001962923897991
50,0.7999999999999999,0.44517902128104225,0.44444444444444436,1.0016527978823453
50,0.9602524040400896,0.4903938527468019,0.4898616127499728,1.0010865109307938
50,1.1526058493309639,0.5355362149758381,0.5354467701038707,1.000167047178098
50,1.3834906721634086,0.5797314069549766,0.5804472777347451,0.998766691123848
50,1.6606253048899418,0.6220990465800199,0.624148504427847,0.9967163938817641
50,1.9932743015379657,0.6617830162508112,0.6659176877019947,0.9937910172269913
50,2.392558049953952,0.6979656631274755,0.7052371734616085,0.9896892696418125
50,2.8718245240921902,0.7298616337752641,0.7417238323230919,0.98400725710717
50,3.4470955040510134,0.7566899494737082,0.7751341298856602,0.9762051757227195
50,4.137602180900961,0.7776268714607264,0.8053566693588108,0.9655683016567533
50,4.966428051464585,0.7917471540679719,0.8323955319037948,0.9511669917991332
50,5.961280594888754,0.7979685241422887,0.8563482700676882,0.9318270988965914
50,7.155417527999324,0.7950226401446492,0.8773821209561885,0.9061304318330737
50,8.588758603964937,0.7815815432451533,0.895711213379957,0.8725820683832498
50,10.309220121471665,0.7560557028233882,0.9115765729856651,0.8293935202251819
50,12.374316756777032,0.7157122231717449,0.9252298253297103,0.7735507476930904
50,14.853084267560883,0.6769844359981593,0.9369207919971615,0.72256314704585
50,17.828387344169222,0.5848873656047557,0.9468887068382048,0.6176938867058382
50,21.399689759245497,0.5183638170052395,0.9553565245435038,0.5425867764423635
50,25.68637942128446,0.6119342936524288,0.9625277005841255,0.635757592515069
50,30.831759487967876,0.23842834043252176,0.9685848342634658,0.2461615462044976
50,37.00783896138373,0.12404128026439787,0.973689638050298,0.1273930371825424
50,44.4210829137465,0.4718931028568624,0.9779837921984604,0.48251628157974835
50,53.31931457248657,0.6044750530585763,0.9815903420749994,0.6158119402242354
50,64.0,0.19218311854980455,0.9846153846153846,0.19518597977714525
100,0.01,0.009901477061159738,0.009900990099009903,1.0000491831771332
100,0.01200315505050112,0.011861486037609122,0.011860788171062706,1.000058838125793
100,0.014407573116637049,0.014203942235978475,0.01420294317438072,1.000070341871082
100,0.017293633402042617,0.017001076172616845,0.01699964772630012,1.0000840279951515
100,0.020757816311124264,0.020337731045345264,0.020335691757071336,1.0001002812345057
100,0.024915928769224573,0.02431312320449478,0.024310217130828465,1.0001195412468213
100,0.029906975624424414,0.02904265358936684,0.029038521276440576,1.0001423045232547
100,0.035897806551152364,0.0346596715165531,0.03465381075636029,1.000169123108394
100,0.04308869380063767,0.041317040031766755,0.04130875356690722,1.0002005982786704
100,0.05172002726126204,0.04918828444861167,0.04917661157023309,1.0002373664635658
100,0.06208035064330728,0.05846802239511563,0.05845165161534615,1.0002800738613378
100,0.07451600743610944,0.06937127752837424,0.06934843866487503,1.0003293349344111
100,0.0894427190999916,0.0821311784276169,0.0820995152217657,1.0003856686091954
100,0.10735948254956168,0.09699445580408585,0.09695088563505991,1.0004494045489172
100,0.1288652515183958,0.11421410321200223,0.1141546799718246,1.0005205501885013
100,0.15467895945971294,0.13403860028731684,0.13395841172345332,1.0005986079024964
100,0.18566355334451115,0.1566972660276284,0.15659041961844294,1.0006823304353216
100,0.22285484180211532,0.18238166886262097,0.1822414518747746,1.0007694022759581
100,0.26749612199056877,0.21122361096654965,0.2110429510194266,1.0008560340264878
100,0.32107974276605594,0.2432710226086786,0.24304342302137208,1.0009364564754608
100,0.38539699359959834,0.27846406352008674,0.2781852388738359,1.001002298494987
100,0.46259798701729665,0.3166146390092456,0.3162851249102847,1.00104182610249
100,0.5552635364218317,0.35739310091287485,0.35702215310680857,1.0010390050108608
100,0.6664914321560819,0.40032577591838076,0.3999369089427512,1.0009723208009422
100,0.7999999999999999,0.44480588660371295,0.44444444444444436,1.0008132448583544
100,0.9602524040400896,0.4901183816004528,0.4898616127499728,1.0005241660987447
100,1.1526058493309639,0.5354764957857087,0.5354467701038707,1.0000555156618691
100,1.3834906721634086,0.5800651652879449,0.5804472777347451,0.9993416931020997
100,1.6606253048899418,0.6230844918211269,0.624148504427847,0.9982952572998706
100,1.9932743015379657,0.6637858677477011,0.6659176877019947,0.996798673479225
100,2.392558049953952,0.7014942776081731,0.7052371734616085,0.9946927133249887
100,2.8718245240921902,0.7356123303228272,0.7417238323230919,0.9917604076693568
100,3.4470955040510134,0.7656040956050115,0.7751341298856602,0.9877053094255385
100,4.137602180900961,0.790959214730832,0.8053566693588108,0.9821228839646396
100,4.966428051464585,0.811139825138347,0.8323955319037948,0.974464415111848
100,5.961280594888754,0.8255150156139038,0.8563482700676882,0.9639944920407824
100,7.155417527999324,0.8332909946120434,0.8773821209561885,0.9497469514239774
100,8.588758603964937,0.8334517658658727,0.895711213379957,0.9304916064641539
100,10.309220121471665,0.8247364580257187,0.9115765729856651,0.9047363463109621
100,12.374316756777032,0.8057120182589829,0.9252298253297103,0.870823655054422
100,14.853084267560883,0.7751523044847195,0.9369207919971615,0.8273402736984706
100,17.828387344169222,0.7314124473607226,0.9468887068382048,0.7724376075864419
100,21.399689759245497,0.6607445476175038,0.9553565245435038,0.691620908679329
100,25.68637942128446,0.6128336828308109,0.9625277005841255,0.6366919959383016
100,30.831759487967876,0.5814872925876718,0.9685848342634658,0.6003473025982781
100,37.00783896138373,0.38061895620273517,0.973689638050298,0.3909037760377948
100,44.4210829137465,0.40424823339796695,0.9779837921984604,0.41334860211664287
100,53.31931457248657,0.5282983057535664,0.9815903420749994,0.5382065033736867
100,64.0,0.037019205024972385,0.9846153846153846,0.03759763010348758
200,0.01,0.009901233606575037,0.009900990099009903,1.0000245942640786
200,0.01200315505050112,0.011861137132823791,0.011860788171062706,1.0000294214647503
200,0.014407573116637049,0.014203442733572587,0.01420294317438072,1.0000351729346328
200,0.017293633402042617,0.017000361973738817,0.01699964772630012,1.0000420154258605
200,0.020757816311124264,0.020336711413559555,0.020335691757071336,1.0000501412246212
200,0.024915928769224573,0.024311670153880992,0.024310217130828465,1.0000597700565448
200,0.029906975624424414,0.029040587367696487,0.029038521276440576,1.0000711500160853
200,0.035897806551152364,0.03465674097527857,0.03465381075636029,1.0000845569031032
200,0.04308869380063767,0.04131289646495087,0.04130875356690722,1.0001002910445347
