# PROVENANCE: results/round63_next/FOG_DMD_PROBE64/LIVING_REGION_MAP.json -> grid[] (COPIED)
"# n_cells=81 n_pass=0 verdict=REGION_EMPTY (P1 bar: witness f_rec>=0.70, met by NONE)"
sigma_f,sigma_f_eff,shape,k_w_over_kp,claim,db,f_rec_witness,f_rec_nat_med,nmse_crb_witness,nmse_crb_nat_med,eta_p10,eta_med,t_req_0p30,exact_null,P1_pass
0.6,0.503,k^-2,2,1.5,440,0.279,0.577,0.083,0.155,0.986,0.993,317.1,False,False
0.6,0.503,k^-2,2,1.8,440,0.133,0.425,0.13,0.305,0.985,0.996,764.7,False,False
0.6,0.503,k^-2,4,1.25,1680,0.438,0.708,0.067,0.106,0.988,0.993,204.0,False,False
0.6,0.503,k^-2,4,1.5,1680,0.269,0.548,0.084,0.156,0.988,0.994,320.4,False,False
0.6,0.503,k^-2,4,1.8,1680,0.138,0.438,0.131,0.306,0.987,0.997,777.9,False,False
1.0,0.696,flat,1,1.25,120,0.354,0.667,0.095,0.138,0.978,0.99,411.3,False,False
1.0,0.696,flat,1,1.5,120,0.26,0.51,0.104,0.188,0.98,0.99,496.7,False,False
1.0,0.696,flat,1,1.8,120,0.029,0.4,0.14,0.313,0.983,0.992,897.1,False,False
1.0,0.696,flat,2,1.25,440,0.396,0.583,0.1,0.16,0.99,0.996,458.0,False,False
1.0,0.696,flat,2,1.5,440,0.308,0.596,0.109,0.209,0.99,0.997,543.2,False,False
1.0,0.696,flat,2,1.8,440,0.071,0.371,0.143,0.343,0.99,0.996,928.5,False,False
1.0,0.696,flat,4,1.25,1680,0.5,0.583,0.103,0.164,0.991,0.997,481.9,False,False
1.0,0.696,flat,4,1.5,1680,0.327,0.519,0.113,0.214,0.989,0.998,576.4,False,False
1.0,0.696,flat,4,1.8,1680,0.113,0.333,0.148,0.352,0.988,0.996,994.9,False,False
1.0,0.696,k^-1,1,1.25,120,0.438,0.667,0.088,0.128,0.974,0.987,349.8,False,False
1.0,0.696,k^-1,1,1.5,120,0.25,0.567,0.099,0.175,0.979,0.989,444.6,False,False
1.0,0.696,k^-1,1,1.8,120,0.038,0.417,0.137,0.302,0.981,0.991,857.1,False,False
1.0,0.696,k^-1,2,1.25,440,0.312,0.75,0.09,0.142,0.981,0.996,366.5,False,False
1.0,0.696,k^-1,2,1.5,440,0.163,0.567,0.101,0.191,0.986,0.997,464.9,False,False
1.0,0.696,k^-1,2,1.8,440,0.062,0.404,0.14,0.333,0.991,0.998,886.6,False,False
1.0,0.696,k^-1,4,1.25,1680,0.333,0.75,0.091,0.143,0.983,0.997,374.0,False,False
1.0,0.696,k^-1,4,1.5,1680,0.183,0.567,0.102,0.193,0.991,0.998,476.4,False,False
1.0,0.696,k^-1,4,1.8,1680,0.075,0.396,0.142,0.336,0.992,0.998,919.4,False,False
1.0,0.696,k^-2,1,1.25,120,0.438,0.792,0.066,0.099,0.976,0.984,198.7,False,False
1.0,0.696,k^-2,1,1.5,120,0.327,0.712,0.083,0.143,0.977,0.987,310.5,False,False
1.0,0.696,k^-2,1,1.8,120,0.117,0.429,0.128,0.276,0.978,0.992,747.4,False,False
1.0,0.696,k^-2,2,1.25,440,0.396,0.688,0.067,0.107,0.985,0.99,202.9,False,False
1.0,0.696,k^-2,2,1.5,440,0.26,0.587,0.084,0.156,0.984,0.992,317.8,False,False
1.0,0.696,k^-2,2,1.8,440,0.121,0.425,0.13,0.305,0.984,0.995,765.8,False,False
1.0,0.696,k^-2,4,1.25,1680,0.375,0.708,0.067,0.107,0.986,0.991,204.5,False,False
1.0,0.696,k^-2,4,1.5,1680,0.24,0.577,0.084,0.156,0.986,0.993,320.9,False,False
1.0,0.696,k^-2,4,1.8,1680,0.129,0.442,0.131,0.306,0.986,0.996,778.8,False,False
