shard_id,stage,kind,arm,image,seed,rho_bar_or_b,nu,pattern_or_cert,cell_id,descriptive
M1_CERT_02,M1_CERT,cert,CERT,m1_spokes_3,1,0.05,200.0,m1_cert,M1_CERT_02_c0013,
M1_CERT_02,M1_CERT,cert,CERT,m1_spokes_3,1,0.6,200.0,m1_cert,M1_CERT_02_c0014,
M1_CERT_02,M1_CERT,cert,CERT,m1_spokes_3,1,0.05,2000.0,m1_cert,M1_CERT_02_c0015,
M1_CERT_02,M1_CERT,cert,CERT,m1_spokes_3,1,0.6,2000.0,m1_cert,M1_CERT_02_c0016,
M1_CERT_03,M1_CERT,cert,CERT,m1_chirp_0,3,0.05,200.0,m1_cert,M1_CERT_03_c0001,
M1_CERT_03,M1_CERT,cert,CERT,m1_chirp_0,3,0.6,200.0,m1_cert,M1_CERT_03_c0002,
M1_CERT_03,M1_CERT,cert,CERT,m1_chirp_0,3,0.05,2000.0,m1_cert,M1_CERT_03_c0003,
M1_CERT_03,M1_CERT,cert,CERT,m1_chirp_0,3,0.6,2000.0,m1_cert,M1_CERT_03_c0004,
M1_CERT_03,M1_CERT,cert,CERT,m1_glyph_0,1,0.05,200.0,m1_cert,M1_CERT_03_c0005,
M1_CERT_03,M1_CERT,cert,CERT,m1_glyph_0,1,0.6,200.0,m1_cert,M1_CERT_03_c0006,
M1_CERT_03,M1_CERT,cert,CERT,m1_glyph_0,1,0.05,2000.0,m1_cert,M1_CERT_03_c0007,
M1_CERT_03,M1_CERT,cert,CERT,m1_glyph_0,1,0.6,2000.0,m1_cert,M1_CERT_03_c0008,
M1_CERT_03,M1_CERT,cert,CERT,m1_maze_3,4,0.05,200.0,m1_cert,M1_CERT_03_c0009,
M1_CERT_03,M1_CERT,cert,CERT,m1_maze_3,4,0.6,200.0,m1_cert,M1_CERT_03_c0010,
M1_CERT_03,M1_CERT,cert,CERT,m1_maze_3,4,0.05,2000.0,m1_cert,M1_CERT_03_c0011,
M1_CERT_03,M1_CERT,cert,CERT,m1_maze_3,4,0.6,2000.0,m1_cert,M1_CERT_03_c0012,
M1_CERT_03,M1_CERT,cert,CERT,m1_spokes_3,2,0.05,200.0,m1_cert,M1_CERT_03_c0013,
M1_CERT_03,M1_CERT,cert,CERT,m1_spokes_3,2,0.6,200.0,m1_cert,M1_CERT_03_c0014,
M1_CERT_03,M1_CERT,cert,CERT,m1_spokes_3,2,0.05,2000.0,m1_cert,M1_CERT_03_c0015,
M1_CERT_03,M1_CERT,cert,CERT,m1_spokes_3,2,0.6,2000.0,m1_cert,M1_CERT_03_c0016,
M1_CERT_04,M1_CERT,cert,CERT,m1_chirp_0,4,0.05,200.0,m1_cert,M1_CERT_04_c0001,
M1_CERT_04,M1_CERT,cert,CERT,m1_chirp_0,4,0.6,200.0,m1_cert,M1_CERT_04_c0002,
M1_CERT_04,M1_CERT,cert,CERT,m1_chirp_0,4,0.05,2000.0,m1_cert,M1_CERT_04_c0003,
M1_CERT_04,M1_CERT,cert,CERT,m1_chirp_0,4,0.6,2000.0,m1_cert,M1_CERT_04_c0004,
M1_CERT_04,M1_CERT,cert,CERT,m1_glyph_0,2,0.05,200.0,m1_cert,M1_CERT_04_c0005,
M1_CERT_04,M1_CERT,cert,CERT,m1_glyph_0,2,0.6,200.0,m1_cert,M1_CERT_04_c0006,
M1_CERT_04,M1_CERT,cert,CERT,m1_glyph_0,2,0.05,2000.0,m1_cert,M1_CERT_04_c0007,
M1_CERT_04,M1_CERT,cert,CERT,m1_glyph_0,2,0.6,2000.0,m1_cert,M1_CERT_04_c0008,
M1_CERT_04,M1_CERT,cert,CERT,m1_microtexture_0,0,0.05,200.0,m1_cert,M1_CERT_04_c0009,
M1_CERT_04,M1_CERT,cert,CERT,m1_microtexture_0,0,0.6,200.0,m1_cert,M1_CERT_04_c0010,
M1_CERT_04,M1_CERT,cert,CERT,m1_microtexture_0,0,0.05,2000.0,m1_cert,M1_CERT_04_c0011,
M1_CERT_04,M1_CERT,cert,CERT,m1_microtexture_0,0,0.6,2000.0,m1_cert,M1_CERT_04_c0012,
M1_CERT_04,M1_CERT,cert,CERT,m1_spokes_3,3,0.05,200.0,m1_cert,M1_CERT_04_c0013,
M1_CERT_04,M1_CERT,cert,CERT,m1_spokes_3,3,0.6,200.0,m1_cert,M1_CERT_04_c0014,
M1_CERT_04,M1_CERT,cert,CERT,m1_spokes_3,3,0.05,2000.0,m1_cert,M1_CERT_04_c0015,
M1_CERT_04,M1_CERT,cert,CERT,m1_spokes_3,3,0.6,2000.0,m1_cert,M1_CERT_04_c0016,
M1_CERT_05,M1_CERT,cert,CERT,m1_chirp_1,0,0.05,200.0,m1_cert,M1_CERT_05_c0001,
M1_CERT_05,M1_CERT,cert,CERT,m1_chirp_1,0,0.6,200.0,m1_cert,M1_CERT_05_c0002,
M1_CERT_05,M1_CERT,cert,CERT,m1_chirp_1,0,0.05,2000.0,m1_cert,M1_CERT_05_c0003,
M1_CERT_05,M1_CERT,cert,CERT,m1_chirp_1,0,0.6,2000.0,m1_cert,M1_CERT_05_c0004,
M1_CERT_05,M1_CERT,cert,CERT,m1_glyph_0,3,0.05,200.0,m1_cert,M1_CERT_05_c0005,
M1_CERT_05,M1_CERT,cert,CERT,m1_glyph_0,3,0.6,200.0,m1_cert,M1_CERT_05_c0006,
M1_CERT_05,M1_CERT,cert,CERT,m1_glyph_0,3,0.05,2000.0,m1_cert,M1_CERT_05_c0007,
M1_CERT_05,M1_CERT,cert,CERT,m1_glyph_0,3,0.6,2000.0,m1_cert,M1_CERT_05_c0008,
M1_CERT_05,M1_CERT,cert,CERT,m1_microtexture_0,1,0.05,200.0,m1_cert,M1_CERT_05_c0009,
M1_CERT_05,M1_CERT,cert,CERT,m1_microtexture_0,1,0.6,200.0,m1_cert,M1_CERT_05_c0010,
M1_CERT_05,M1_CERT,cert,CERT,m1_microtexture_0,1,0.05,2000.0,m1_cert,M1_CERT_05_c0011,
