side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,eta_star,PSNR_rad,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,20.0,2048,0,dev_fine_lines,SAT-POISSON,6.0854,0.00363,,0.75031,-0.00177,0.035099,0.95,0.002048,0.0,0.0,127.51,127.509,1.0,6.0854,,,,,
64,bern50,0.05,20.0,2048,0,dev_fine_lines,PRECORRECT,3.5902,0.0,,1.0,-1.0,65299633690829.73,0.95,0.002048,0.0,0.0,61.98,61.982,1.0,3.5902,,,,,
64,bern50,0.05,20.0,2048,0,dev_fine_lines,GI,1.9379,0.00924,,,,,0.95,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_00,RQL,18.3405,0.27375,,0.24117,0.01384,0.062458,0.96,0.002048,0.0,0.0,149.71,149.701,1.0,18.3249,OK,1.0932,0.15,0.9,False
64,bern50,0.05,20.0,2048,1,dev_stl_00,POISSON-LIN,18.3361,0.27358,,0.24312,-0.0351,0.055096,0.96,0.002048,0.0,0.0,120.46,120.462,1.0,18.2552,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_00,SAT-POISSON,18.3596,0.27396,,0.24063,0.0138,0.049148,0.96,0.002048,0.0,0.0,119.0,118.999,1.0,18.3445,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,66123206409692.125,0.96,0.002048,0.0,0.0,62.01,62.007,1.0,5.9715,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_00,GI,2.9482,0.00199,,,,,0.96,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_01,RQL,15.7179,0.15048,,0.31202,0.01704,0.060119,0.97,0.002048,0.0,0.0,136.97,136.974,1.0,15.7013,OK,0.9213,0.85,0.75,False
64,bern50,0.05,20.0,2048,1,dev_stl_01,POISSON-LIN,15.6985,0.15023,,0.31328,-0.03217,0.059802,0.97,0.002048,0.0,0.0,103.1,103.097,1.0,15.6663,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_01,SAT-POISSON,15.9002,0.1525,,0.30544,0.01708,0.052683,0.97,0.002048,0.0,0.0,102.39,102.391,1.0,15.8865,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_01,PRECORRECT,5.585,8e-05,,1.0,-1.0,66979365994731.73,0.97,0.002048,0.0,0.0,61.93,61.928,1.0,5.585,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_01,GI,2.5277,0.00563,,,,,0.97,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_02,RQL,15.2138,0.1432,,0.36251,0.02891,0.348622,0.98,0.002048,0.0,0.0,131.3,131.302,1.0,15.1969,OK,1.0702,0.2,0.075,False
64,bern50,0.05,20.0,2048,1,dev_stl_02,POISSON-LIN,15.0123,0.14104,,0.3709,-0.02141,0.177969,0.98,0.002048,0.0,0.0,105.01,105.01,1.0,14.9981,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_02,SAT-POISSON,15.0841,0.1419,,0.36805,0.02894,0.067552,0.98,0.002048,0.0,0.0,108.92,108.923,1.0,15.0651,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_02,PRECORRECT,6.3832,0.00016,,1.0,-1.0,65864799697971.875,0.98,0.002048,0.0,0.0,61.85,61.845,1.0,6.3832,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_02,GI,3.3677,0.00611,,,,,0.98,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_03,RQL,14.9716,0.15552,,0.64507,0.0024,0.057405,0.95,0.002048,0.0,0.0,152.53,152.529,1.0,14.9719,OK,0.9293,0.75,0.525,False
64,bern50,0.05,20.0,2048,1,dev_stl_03,POISSON-LIN,14.8407,0.15036,,0.65601,-0.04536,0.053495,0.95,0.002048,0.0,0.0,123.05,123.051,1.0,14.8259,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_03,SAT-POISSON,14.8269,0.14993,,0.65593,0.00251,0.048771,0.95,0.002048,0.0,0.0,122.83,122.828,1.0,14.827,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_03,PRECORRECT,11.1641,0.00429,,1.0,-1.0,65154018312452.65,0.95,0.002048,0.0,0.0,62.1,62.098,1.0,11.1641,,,,,
64,bern50,0.05,20.0,2048,1,dev_stl_03,GI,9.114,0.01351,,,,,0.95,0.002048,0.0,0.0,0.05,,,,,,,,
64,bern50,0.05,20.0,2048,1,dev_text,RQL,13.076,0.0274,,0.97317,-0.00239,0.04521,0.95,0.002048,0.0,0.0,154.19,154.19,1.0,13.076,OK,0.9655,0.625,0.875,False
64,bern50,0.05,20.0,2048,1,dev_text,POISSON-LIN,13.0729,0.02727,,0.97359,-0.04975,0.04203,0.95,0.002048,0.0,0.0,125.68,125.674,1.0,13.0723,,,,,
64,bern50,0.05,20.0,2048,1,dev_text,SAT-POISSON,13.0728,0.02726,,0.97353,-0.00231,0.038575,0.95,0.002048,0.0,0.0,123.55,123.547,1.0,13.0728,,,,,
