image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,angerr,pearson
cat,GAM4,SAT30,10000.0,0,GI,8.92136,0.151047,0.968799,38.1107,0.391763
deer,GAM4,SAT30,10000.0,0,GI,11.7447,0.182444,0.718936,34.3391,0.62753
dog,GAM4,SAT30,10000.0,0,GI,2.84081,0.0179479,1.18509,39.2656,0.126319
horse,GAM4,SAT30,10000.0,0,GI,6.882,0.125454,0.953848,38.6206,0.341364
airplane,GAM4,SAT30,10000.0,0,GI,7.36873,0.0760271,1.0701,39.0213,0.294198
car,GAM4,SAT30,10000.0,0,GI,11.2903,0.233581,0.943407,34.7709,0.61924
ship,GAM4,SAT30,10000.0,0,GI,4.16881,0.0395922,1.20705,39.7614,0.248113
truck,GAM4,SAT30,10000.0,0,GI,12.8012,0.37482,0.747957,34.9901,0.604392
cat,GAM4,SAT30,10000.0,0,DGI,2.32484,0.0666735,0.999142,56.6369,0.327778
deer,GAM4,SAT30,10000.0,0,DGI,6.39825,0.110984,0.629008,44.0695,0.632475
dog,GAM4,SAT30,10000.0,0,DGI,-4.51564,0.00731643,1.232,62.0026,0.105549
horse,GAM4,SAT30,10000.0,0,DGI,0.0757061,0.0663635,0.909055,58.0867,0.283247
airplane,GAM4,SAT30,10000.0,0,DGI,0.231717,0.0307346,1.00421,59.8219,0.247019
car,GAM4,SAT30,10000.0,0,DGI,5.81034,0.134908,0.816246,46.5599,0.572177
ship,GAM4,SAT30,10000.0,0,DGI,-2.78297,0.0218185,1.15838,60.4732,0.197711
truck,GAM4,SAT30,10000.0,0,DGI,7.22361,0.245061,0.76185,47.2705,0.556863
cat,GAM4,SAT30,10000.0,0,CORR,8.50518,0.136716,0.999237,39.7266,0.352834
deer,GAM4,SAT30,10000.0,0,CORR,11.2526,0.158991,0.736866,36.2035,0.591774
dog,GAM4,SAT30,10000.0,0,CORR,2.38827,0.0155048,1.19551,40.7554,0.114249
horse,GAM4,SAT30,10000.0,0,CORR,6.44992,0.1132,1.00436,40.1448,0.3149
airplane,GAM4,SAT30,10000.0,0,CORR,6.93381,0.0660058,1.09014,40.5809,0.263883
car,GAM4,SAT30,10000.0,0,CORR,10.6566,0.203083,0.98329,37.1759,0.57384
ship,GAM4,SAT30,10000.0,0,CORR,3.60459,0.0339317,1.21887,41.7299,0.217829
truck,GAM4,SAT30,10000.0,0,CORR,12.1422,0.327811,0.814328,37.6475,0.549069
cat,GAM4,SAT30,10000.0,0,SIR-10,8.86528,0.148285,0.978881,38.3803,0.381847
