image,illum,link,photons,seed,method,PSNR,SSIM,LPIPS,MSE_flux
cat,GAM4,LIN,10000.0,0,WHITEN-OR,24.152721454924336,0.936925335296253,nan,2.4303548611580033e-07
deer,GAM4,LIN,10000.0,0,WHITEN-OR,26.517405205519285,0.8809236054325555,nan,3.2516410114046954e-07
dog,GAM4,LIN,10000.0,0,WHITEN-OR,19.29302608341485,0.6225055085767823,nan,2.208911031385755e-07
horse,GAM4,LIN,10000.0,0,WHITEN-OR,22.806008328112565,0.9129409618135134,nan,2.263480837868145e-07
airplane,GAM4,LIN,10000.0,0,WHITEN-OR,22.945991428061237,0.8189919395597203,nan,2.3483198771185724e-07
car,GAM4,LIN,10000.0,0,WHITEN-OR,25.450236890843485,0.9735910405359479,nan,3.22429132514412e-07
ship,GAM4,LIN,10000.0,0,WHITEN-OR,20.793213611774757,0.799414654548805,nan,2.3571241305446232e-07
truck,GAM4,LIN,10000.0,0,WHITEN-OR,25.38524613165116,0.9497494437344511,nan,2.740975748463348e-07
cat,GAM4,LIN,10000.0,0,SCORE-OR,20.91872977776612,0.8669324011093233,nan,5.117629700611624e-07
deer,GAM4,LIN,10000.0,0,SCORE-OR,23.375541516573854,0.7986925131817177,nan,6.703304708935912e-07
dog,GAM4,LIN,10000.0,0,SCORE-OR,15.992609555115925,0.47444556297194695,nan,4.723021003560286e-07
horse,GAM4,LIN,10000.0,0,SCORE-OR,19.510203793109422,0.8339159064875011,nan,4.834563575929282e-07
airplane,GAM4,LIN,10000.0,0,SCORE-OR,19.72764504298045,0.7065103750393491,nan,4.927105852949807e-07
car,GAM4,LIN,10000.0,0,SCORE-OR,22.317593343358194,0.9478271460469516,nan,6.632826382343357e-07
ship,GAM4,LIN,10000.0,0,SCORE-OR,17.386870474191888,0.6703692991924575,nan,5.164363079350362e-07
truck,GAM4,LIN,10000.0,0,SCORE-OR,21.90273875312063,0.9055105618539063,nan,6.111614194164726e-07
cat,GAM4,LIN,10000.0,1,WHITEN-OR,24.295192974809993,0.9402313612019162,nan,2.3519199634276881e-07
deer,GAM4,LIN,10000.0,1,WHITEN-OR,26.61048033521915,0.8797825007648383,nan,3.1826954224100103e-07
dog,GAM4,LIN,10000.0,1,WHITEN-OR,19.58043414956618,0.6651029776621291,nan,2.0674614359496185e-07
horse,GAM4,LIN,10000.0,1,WHITEN-OR,22.75740731551565,0.9147046007005356,nan,2.2889532542671355e-07
airplane,GAM4,LIN,10000.0,1,WHITEN-OR,23.497552646213727,0.8529928044211941,nan,2.068240948501678e-07
car,GAM4,LIN,10000.0,1,WHITEN-OR,26.130254065415205,0.978309838764436,nan,2.756973282049516e-07
ship,GAM4,LIN,10000.0,1,WHITEN-OR,20.986198953658686,0.8127098735405024,nan,2.2546748459248933e-07
truck,GAM4,LIN,10000.0,1,WHITEN-OR,25.281647407300866,0.9510194480058182,nan,2.807146417048793e-07
cat,GAM4,LIN,10000.0,1,SCORE-OR,21.70913344223806,0.888147257520709,nan,4.2660750531782527e-07
deer,GAM4,LIN,10000.0,1,SCORE-OR,24.189921639985542,0.8251852769288663,nan,5.557135022381332e-07
dog,GAM4,LIN,10000.0,1,SCORE-OR,16.68375813549156,0.4919499714739908,nan,4.0281442908064634e-07
horse,GAM4,LIN,10000.0,1,SCORE-OR,20.08547516751942,0.8506554996761128,nan,4.234773027458683e-07
airplane,GAM4,LIN,10000.0,1,SCORE-OR,20.68440008858032,0.7332318921228966,nan,3.952905100330253e-07
car,GAM4,LIN,10000.0,1,SCORE-OR,23.053169990037368,0.9542906093073051,nan,5.599393191614732e-07
ship,GAM4,LIN,10000.0,1,SCORE-OR,18.15432204245782,0.6726053313351347,nan,4.327844128206496e-07
truck,GAM4,LIN,10000.0,1,SCORE-OR,22.30830769431465,0.8912195831267866,nan,5.566715634718647e-07
cat,GAM4,LIN,10000.0,2,WHITEN-OR,24.27598185360577,0.9384034433315652,nan,2.362346782780029e-07
deer,GAM4,LIN,10000.0,2,WHITEN-OR,26.34717284220489,0.8851682015646043,nan,3.3816279843302224e-07
dog,GAM4,LIN,10000.0,2,WHITEN-OR,19.459525380907344,0.6304174014125402,nan,2.1258288387002147e-07
horse,GAM4,LIN,10000.0,2,WHITEN-OR,22.20808742053066,0.8957353359972277,nan,2.5975798873844936e-07
airplane,GAM4,LIN,10000.0,2,WHITEN-OR,22.721468199466912,0.8222774268854661,nan,2.472917210126911e-07
car,GAM4,LIN,10000.0,2,WHITEN-OR,25.570278971368804,0.9742197541432899,nan,3.1363900453001984e-07
ship,GAM4,LIN,10000.0,2,WHITEN-OR,20.356988607796488,0.7908512732685342,nan,2.6061832802608897e-07
truck,GAM4,LIN,10000.0,2,WHITEN-OR,25.16795993538913,0.9517742488081169,nan,2.8816007774208823e-07
cat,GAM4,LIN,10000.0,2,SCORE-OR,21.258836099743952,0.8841751900895987,nan,4.732146987383141e-07
deer,GAM4,LIN,10000.0,2,SCORE-OR,23.674922796536542,0.8283937736007024,nan,6.256779261195369e-07
dog,GAM4,LIN,10000.0,2,SCORE-OR,16.470177834796772,0.4334142441152592,nan,4.231195079315163e-07
horse,GAM4,LIN,10000.0,2,SCORE-OR,19.189600954150208,0.8111347371283196,nan,5.204961956951541e-07
airplane,GAM4,LIN,10000.0,2,SCORE-OR,19.872996967007506,0.715397210282211,nan,4.764931923573464e-07
car,GAM4,LIN,10000.0,2,SCORE-OR,22.467213791848625,0.9467631698165115,nan,6.408207777470887e-07
ship,GAM4,LIN,10000.0,2,SCORE-OR,17.674834442698,0.6906584413154362,nan,4.833039791418592e-07
truck,GAM4,LIN,10000.0,2,SCORE-OR,22.182773407885644,0.9056190604057215,nan,5.729971546634929e-07
