family,probe_type,v_idx,err,q_theory
GAM1,nonzero_sum_random,46,1.00686,0.0357413
GAM1,nonzero_sum_random,47,1.00061,0.0357198
GAM1,structured,48,1.02012,0.0356805
GAM1,structured,49,1.00342,0.0357394
GAM1,structured,50,1.00006,0.0357247
GAM1,structured,51,1,0.0356975
GAM1,structured,52,1.00086,0.0357737
GAM1,structured,53,1.00019,0.0357726
GAM1,structured,54,1.00289,0.0357506
GAM1,structured,55,1.00001,0.03582
GAM1,structured,56,1.00063,0.0357502
GAM1,structured,57,1.00247,0.0357553
GAM1,structured,58,1.00006,0.0356995
GAM1,structured,59,1.00003,0.0357079
GAM1,structured,60,1.00099,0.035797
GAM1,structured,61,1.00255,0.0358017
GAM1,structured,62,1.00007,0.0357635
GAM1,structured,63,1.00018,0.0356402
GAM2,zero_mean_random,0,0.291957,0.291881
GAM2,zero_mean_random,1,0.192474,0.190852
GAM2,zero_mean_random,2,0.154964,0.164295
GAM2,zero_mean_random,3,0.185494,0.178434
GAM2,zero_mean_random,4,0.398837,0.397153
GAM2,zero_mean_random,5,0.173266,0.173679
GAM2,zero_mean_random,6,0.18619,0.190173
GAM2,zero_mean_random,7,0.148603,0.148833
GAM2,zero_mean_random,8,0.26185,0.259596
GAM2,zero_mean_random,9,0.151036,0.155795
GAM2,zero_mean_random,10,0.424477,0.427221
GAM2,zero_mean_random,11,0.209043,0.20207
GAM2,zero_mean_random,12,0.267327,0.260941
GAM2,zero_mean_random,13,0.155875,0.158637
GAM2,zero_mean_random,14,0.392162,0.391507
GAM2,zero_mean_random,15,0.402119,0.40017
GAM2,zero_mean_random,16,0.298905,0.299758
GAM2,zero_mean_random,17,0.176383,0.186692
GAM2,zero_mean_random,18,0.16811,0.167285
GAM2,zero_mean_random,19,0.138656,0.138247
GAM2,zero_mean_random,20,0.544871,0.545596
GAM2,zero_mean_random,21,0.46733,0.479198
GAM2,zero_mean_random,22,0.248057,0.244573
GAM2,zero_mean_random,23,0.273253,0.275937
GAM2,zero_mean_random,24,0.145823,0.144928
GAM2,zero_mean_random,25,0.228581,0.229704
GAM2,zero_mean_random,26,0.276018,0.286041
GAM2,zero_mean_random,27,0.441753,0.432005
GAM2,zero_mean_random,28,0.251904,0.244811
GAM2,zero_mean_random,29,0.164209,0.161814
GAM2,zero_mean_random,30,0.224553,0.220218
GAM2,zero_mean_random,31,0.164944,0.156884
GAM2,nonzero_sum_random,32,0.276909,0.268546
GAM2,nonzero_sum_random,33,0.156757,0.169437
GAM2,nonzero_sum_random,34,0.356169,0.353919
GAM2,nonzero_sum_random,35,0.15391,0.155846
GAM2,nonzero_sum_random,36,0.22691,0.235418
GAM2,nonzero_sum_random,37,0.154566,0.149853
GAM2,nonzero_sum_random,38,0.235264,0.237915
GAM2,nonzero_sum_random,39,0.437732,0.443036
GAM2,nonzero_sum_random,40,0.32884,0.316908
GAM2,nonzero_sum_random,41,0.216267,0.208178
GAM2,nonzero_sum_random,42,0.197758,0.18772
GAM2,nonzero_sum_random,43,0.19138,0.186482
GAM2,nonzero_sum_random,44,0.33341,0.33261
GAM2,nonzero_sum_random,45,0.335341,0.342514
GAM2,nonzero_sum_random,46,0.300423,0.303832
GAM2,nonzero_sum_random,47,0.376823,0.37546
GAM2,structured,48,0.179597,0.176362
GAM2,structured,49,0.152603,0.147912
