side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,100.0,4096,0,detail_dev_contour,RQL,7.3077,0.06336,,0.78266,-0.00254,0.100862,4.75,0.020479999999999998,0.0,0.0,23.51,23.514,7.3077,11.204417,4.378606,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,OK,0.9983,0.525,0.975,False
64,bern50,0.05,100.0,4096,0,detail_dev_contour,GI,3.8541,0.01825,,,,,4.75,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,100.0,4096,0,detail_dev_microtexture,RQL,15.6931,0.04057,,0.59092,0.00138,0.100862,4.77,0.020479999999999998,0.0,0.0,23.31,23.312,15.6931,1.0,4.245464,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,OK,1.0931,0.025,0.175,False
64,bern50,0.05,100.0,4096,0,detail_dev_microtexture,GI,9.0614,0.01547,,,,,4.77,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_glyph,RQL,12.2791,0.51797,,0.84177,-0.00028,0.450914,95.19,0.40959999999999996,0.0,0.0,26.93,26.927,12.279,5.02499,96.477115,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,1.0544,0.125,0.425,False
64,bern50,0.05,2000.0,4096,0,detail_dev_glyph,GI,11.6227,0.12923,,,,,95.19,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_chirp,RQL,6.0968,0.00671,,0.68458,0.00013,0.450914,95.22,0.40959999999999996,0.0,0.0,26.82,26.825,6.0968,2.28153,90.968218,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,0.9628,0.775,0.925,False
64,bern50,0.05,2000.0,4096,0,detail_dev_chirp,GI,1.7879,0.09212,,,,,95.22,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_spokes,RQL,6.8547,0.00845,,0.79708,0.00155,0.450914,95.34,0.40959999999999996,0.0,0.0,26.78,26.78,6.8551,4.426785,95.275913,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,1.0684,0.125,0.45,False
64,bern50,0.05,2000.0,4096,0,detail_dev_spokes,GI,4.6465,0.13203,,,,,95.34,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_maze,RQL,9.6662,0.00976,,0.93589,0.00137,0.450914,95.33,0.40959999999999996,0.0,0.0,27.22,27.216,9.6662,7.852081,102.153946,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,1.0996,0.075,0.35,False
64,bern50,0.05,2000.0,4096,0,detail_dev_maze,GI,10.2637,0.26905,,,,,95.33,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_contour,RQL,7.7,0.08657,,0.74811,-0.00032,0.450914,95.17,0.40959999999999996,0.0,0.0,26.88,26.882,7.6999,1.876771,90.155458,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,1.0087,0.475,1.0,False
64,bern50,0.05,2000.0,4096,0,detail_dev_contour,GI,4.9226,0.126,,,,,95.17,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.05,2000.0,4096,0,detail_dev_microtexture,RQL,15.7043,0.04165,,0.59016,0.00103,0.450914,95.3,0.40959999999999996,0.0,0.0,26.94,26.934,15.7043,1.0,88.064089,86.38688,9.1e-05,0.999684,0.5,0.221108,0.450914,OK,0.9891,0.55,0.575,False
64,bern50,0.05,2000.0,4096,0,detail_dev_microtexture,GI,9.704,0.06416,,,,,95.3,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_glyph,RQL,11.8566,0.46783,,0.8842,0.06925,0.067248,1.95,0.001024,0.0,0.0,22.42,22.419,11.8519,15.075795,0.833309,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,0.9878,0.6,0.375,False
64,bern50,0.6,5.0,4096,0,detail_dev_glyph,GI,10.1434,0.04134,,,,,1.95,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_chirp,RQL,6.032,0.00398,,0.69077,0.05196,0.067248,1.93,0.001024,0.0,0.0,22.03,22.03,6.0186,22.466768,0.836172,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,0.9814,0.65,0.625,False
64,bern50,0.6,5.0,4096,0,detail_dev_chirp,GI,0.8617,0.03487,,,,,1.93,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_spokes,RQL,6.5808,0.00338,,0.82373,0.07152,0.067248,1.96,0.001024,0.0,0.0,22.08,22.08,6.5694,1.0,0.808984,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,0.9006,0.975,0.475,False
64,bern50,0.6,5.0,4096,0,detail_dev_spokes,GI,3.7137,0.02733,,,,,1.96,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_maze,RQL,9.6616,0.0072,,0.93662,0.05971,0.067248,1.94,0.001024,0.0,0.0,22.25,22.247,9.6594,34.275395,0.840746,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,1.0014,0.5,0.375,False
64,bern50,0.6,5.0,4096,0,detail_dev_maze,GI,8.7601,0.0521,,,,,1.94,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_contour,RQL,7.2783,0.0624,,0.78641,0.06276,0.067248,1.95,0.001024,0.0,0.0,22.14,22.136,7.2663,8.005143,0.830571,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,1.0273,0.325,0.425,False
64,bern50,0.6,5.0,4096,0,detail_dev_contour,GI,3.8939,0.01498,,,,,1.95,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,5.0,4096,0,detail_dev_microtexture,RQL,15.699,0.04083,,0.59287,0.06577,0.067248,1.95,0.001024,0.0,0.0,22.23,22.232,15.6644,64.0,0.858242,0.82747,0.0,0.999697,0.5,0.032975,0.067248,OK,0.9958,0.575,0.225,False
64,bern50,0.6,5.0,4096,0,detail_dev_microtexture,GI,8.9225,0.02169,,,,,1.95,0.001024,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_glyph,RQL,12.0405,0.48932,,0.86513,0.00483,0.283857,37.6,0.020479999999999998,0.0,0.0,25.3,25.297,12.0413,8.658049,15.912973,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,1.0546,0.1,1.0,False
64,bern50,0.6,100.0,4096,0,detail_dev_glyph,GI,10.6578,0.07131,,,,,37.6,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_chirp,RQL,6.0284,0.00444,,0.69002,0.00746,0.283857,37.66,0.020479999999999998,0.0,0.0,25.03,25.027,6.028,1.0,14.580152,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,0.9473,0.95,0.65,False
64,bern50,0.6,100.0,4096,0,detail_dev_chirp,GI,1.5823,0.07739,,,,,37.66,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_spokes,RQL,6.6377,0.00474,,0.81726,0.0045,0.283857,37.59,0.020479999999999998,0.0,0.0,25.13,25.13,6.6379,2.326445,15.057719,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,1.0489,0.075,0.5,False
64,bern50,0.6,100.0,4096,0,detail_dev_spokes,GI,4.1979,0.08094,,,,,37.59,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_maze,RQL,9.6654,0.00796,,0.93597,0.00318,0.283857,37.56,0.020479999999999998,0.0,0.0,25.09,25.091,9.6654,7.270937,15.725606,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,1.1071,0.025,0.65,False
64,bern50,0.6,100.0,4096,0,detail_dev_maze,GI,9.5832,0.16723,,,,,37.56,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_contour,RQL,7.3127,0.06423,,0.78221,0.00762,0.283857,37.67,0.020479999999999998,0.0,0.0,25.72,25.723,7.3127,1.0,14.137095,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,1.0813,0.025,0.35,False
64,bern50,0.6,100.0,4096,0,detail_dev_contour,GI,4.2468,0.04828,,,,,37.67,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,100.0,4096,0,detail_dev_microtexture,RQL,15.7055,0.04183,,0.59008,0.00088,0.283857,37.51,0.020479999999999998,0.0,0.0,25.24,25.245,15.7055,1.0,14.765336,14.743469,2e-06,0.999696,0.5,0.139191,0.283857,OK,1.0658,0.075,0.65,False
64,bern50,0.6,100.0,4096,0,detail_dev_microtexture,GI,9.4534,0.03114,,,,,37.51,0.020479999999999998,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_glyph,RQL,12.7299,0.57534,,0.79921,-0.00045,1.265556,749.58,0.40959999999999996,0.0,0.0,36.13,36.127,12.7297,4.562732,537.845036,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.2095,0.025,0.15,False
64,bern50,0.6,2000.0,4096,0,detail_dev_glyph,GI,13.8373,0.24567,,,,,749.58,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_chirp,RQL,6.1519,0.01495,,0.68025,-0.00029,1.265556,749.71,0.40959999999999996,0.0,0.0,35.88,35.879,6.1519,1.882615,394.062248,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.0352,0.175,0.475,False
64,bern50,0.6,2000.0,4096,0,detail_dev_chirp,GI,3.4728,0.26666,,,,,749.71,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_spokes,RQL,7.409,0.04855,,0.74787,-0.0006,1.265556,749.43,0.40959999999999996,0.0,0.0,36.07,36.069,7.4086,3.441593,477.698234,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.3051,0.025,0.65,False
64,bern50,0.6,2000.0,4096,0,detail_dev_spokes,GI,6.7466,0.34259,,,,,749.43,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_maze,RQL,9.8702,0.0507,,0.91417,-0.00047,1.265556,749.56,0.40959999999999996,0.0,0.0,36.28,36.277,9.8702,7.986256,721.510132,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.6008,0.025,0.3,False
64,bern50,0.6,2000.0,4096,0,detail_dev_maze,GI,11.9841,0.45851,,,,,749.56,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_contour,RQL,8.3691,0.13197,,0.69274,-0.00145,1.265556,749.08,0.40959999999999996,0.0,0.0,36.25,36.246,8.3678,2.19229,410.67566,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.0521,0.125,0.8,False
64,bern50,0.6,2000.0,4096,0,detail_dev_contour,GI,6.6412,0.27409,,,,,749.08,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
64,bern50,0.6,2000.0,4096,0,detail_dev_microtexture,RQL,15.7753,0.0492,,0.58535,-7e-05,1.265556,749.74,0.40959999999999996,0.0,0.0,36.02,36.022,15.7753,1.400816,368.214688,293.063782,3.9e-05,0.999696,0.5,0.620573,1.265556,OK,1.0622,0.15,0.75,False
64,bern50,0.6,2000.0,4096,0,detail_dev_microtexture,GI,11.4265,0.21625,,,,,749.74,0.40959999999999996,0.0,0.0,0.07,,,,,,,,,,,,,,,
