side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
64,bern50,0.05,5.0,4096,0,dev_stl_00,RQL,18.0112,0.27466,,0.25015,0.00437,0.022708,0.24,0.001024,0.0,0.0,83.43,83.306,18.0074,1.0,0.212453,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,0.9249,0.825,0.8,False
64,bern50,0.05,5.0,4096,0,dev_stl_00,POISSON-LIN,18.091,0.27233,,0.25078,-0.04368,0.021626,0.24,0.001024,0.0,0.0,3.3,3.299,17.9856,1.0,0.212453,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_00,SAT-POISSON,18.2533,0.27385,,0.24324,0.00433,0.020596,0.24,0.001024,0.0,0.0,4.27,4.272,18.2509,1.0,0.212453,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_00,PRECORRECT,5.9715,0.00012,,1.0,-1.0,24624023737.87486,0.24,0.001024,0.0,0.0,2.67,2.668,5.9715,1.0,0.212453,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_00,GI,2.9942,0.00223,,,,,0.24,0.001024,0.0,0.0,0.11,,,,,,,,,,,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_01,RQL,16.219,0.15322,,0.29466,-0.01933,0.022708,0.23,0.001024,0.0,0.0,87.17,87.171,16.1986,64.0,0.222544,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,0.9986,0.525,0.35,False
64,bern50,0.05,5.0,4096,0,dev_stl_01,POISSON-LIN,16.2165,0.15309,,0.30091,-0.06518,0.021626,0.23,0.001024,0.0,0.0,4.29,4.293,16.0162,64.0,0.222544,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_01,SAT-POISSON,16.1896,0.15306,,0.29565,-0.01935,0.020596,0.23,0.001024,0.0,0.0,4.02,4.022,16.1695,64.0,0.222544,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_01,PRECORRECT,5.585,8e-05,,1.0,-1.0,24624023737.87486,0.23,0.001024,0.0,0.0,2.48,2.474,5.585,64.0,0.222544,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_01,GI,2.6038,0.01325,,,,,0.23,0.001024,0.0,0.0,0.11,,,,,,,,,,,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_02,RQL,15.1624,0.1422,,0.36464,0.0281,0.022708,0.24,0.001024,0.0,0.0,86.74,86.737,15.1459,64.0,0.222449,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,0.9413,0.775,0.75,False
64,bern50,0.05,5.0,4096,0,dev_stl_02,POISSON-LIN,15.172,0.14238,,0.36433,-0.02219,0.021626,0.24,0.001024,0.0,0.0,3.96,3.958,15.1533,64.0,0.222449,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_02,SAT-POISSON,15.1302,0.14205,,0.36601,0.02805,0.020596,0.24,0.001024,0.0,0.0,4.03,4.026,15.1133,64.0,0.222449,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_02,PRECORRECT,6.3832,0.00016,,1.0,-1.0,24624023737.87486,0.24,0.001024,0.0,0.0,2.49,2.491,6.3832,64.0,0.222449,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_02,GI,3.5925,0.00298,,,,,0.24,0.001024,0.0,0.0,0.12,,,,,,,,,,,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_03,RQL,15.031,0.15265,,0.64059,0.01069,0.022708,0.24,0.001024,0.0,0.0,94.44,94.435,15.0326,50.466485,0.219725,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,1.0044,0.45,0.425,False
64,bern50,0.05,5.0,4096,0,dev_stl_03,POISSON-LIN,15.0437,0.15309,,0.64103,-0.03791,0.021626,0.24,0.001024,0.0,0.0,3.04,3.036,15.0266,50.466485,0.219725,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_03,SAT-POISSON,15.0309,0.15286,,0.64059,0.01073,0.020596,0.24,0.001024,0.0,0.0,2.74,2.735,15.0325,50.466485,0.219725,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_03,PRECORRECT,11.1641,0.00429,,1.0,-1.0,24624023737.87486,0.24,0.001024,0.0,0.0,2.64,2.634,11.1641,50.466485,0.219725,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_stl_03,GI,8.8759,0.00548,,,,,0.24,0.001024,0.0,0.0,0.13,,,,,,,,,,,,,,,
64,bern50,0.05,5.0,4096,0,dev_text,RQL,13.0729,0.0272,,0.97375,0.0942,0.022708,0.26,0.001024,0.0,0.0,92.28,92.28,13.0709,64.0,0.235361,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,1.0123,0.375,0.95,False
64,bern50,0.05,5.0,4096,0,dev_text,POISSON-LIN,13.0727,0.02719,,0.97357,0.03742,0.021626,0.26,0.001024,0.0,0.0,3.56,3.559,13.0724,64.0,0.235361,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_text,SAT-POISSON,13.0725,0.02717,,0.97379,0.09416,0.020596,0.26,0.001024,0.0,0.0,3.91,3.911,13.0705,64.0,0.235361,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_text,PRECORRECT,12.8398,0.72447,,1.0,-1.0,24624023737.87486,0.26,0.001024,0.0,0.0,2.73,2.733,12.8398,64.0,0.235361,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_text,GI,12.6613,0.00937,,,,,0.26,0.001024,0.0,0.0,0.13,,,,,,,,,,,,,,,
64,bern50,0.05,5.0,4096,0,dev_fine_lines,RQL,6.0543,0.00353,,0.75308,0.01188,0.022708,0.24,0.001024,0.0,0.0,92.27,92.272,6.0534,1.0,0.21323,0.219079,0.0,0.999703,0.5,0.011135,0.022708,OK,1.0741,0.225,0.125,False
64,bern50,0.05,5.0,4096,0,dev_fine_lines,POISSON-LIN,6.0522,0.00348,,0.75344,-0.03682,0.021626,0.24,0.001024,0.0,0.0,2.9,2.903,6.0492,1.0,0.21323,0.219079,0.0,0.999703,0.5,0.010605,0.021626,,,,,
64,bern50,0.05,5.0,4096,0,dev_fine_lines,SAT-POISSON,6.0795,0.0036,,0.75087,0.01193,0.020596,0.24,0.001024,0.0,0.0,3.41,3.404,6.0789,1.0,0.21323,0.219079,0.0,0.999703,0.5,0.0101,0.020596,,,,,
64,bern50,0.05,5.0,4096,0,dev_fine_lines,PRECORRECT,3.5902,0.0,,1.0,-1.0,24624023737.87486,0.24,0.001024,0.0,0.0,2.83,2.829,3.5902,1.0,0.21323,0.219079,0.0,0.999703,0.5,12074541970.70667,24624023737.87486,,,,,
64,bern50,0.05,5.0,4096,0,dev_fine_lines,GI,1.825,0.00317,,,,,0.24,0.001024,0.0,0.0,0.13,,,,,,,,,,,,,,,
