cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_SCAT32-SAFE_00_c0001,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,5.0,1024,0,m1_chirp_0,RQL,5.8531,0.00708,,0.70518,-0.02936,0.169294,0.23,0.000256,0.0,0.0,0.32,0.317,5.8616,4.098236,0.225637,0.219079,0.0,31.270283,0.5,0.090938,0.169294,,,,,,,0.215137,0.104976,0.00022793,0.00024405,
M1_SCAT32-SAFE_00_c0002,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,10.0,1024,0,m1_chirp_0,RQL,5.9604,0.00307,,0.69724,0.00415,0.238564,0.48,0.000512,0.0,0.0,0.08,0.075,5.9599,1.3084,0.443325,0.435039,0.0,31.232803,0.5,0.128147,0.238564,,,,,,,0.215137,0.148459,0.0004673,0.00048811,
M1_SCAT32-SAFE_00_c0003,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,20.0,1024,0,m1_chirp_0,RQL,6.0487,0.00341,,0.69088,-0.042,0.336775,0.91,0.001024,0.0,0.0,0.09,0.091,6.0395,1.0,0.813656,0.866957,1e-06,31.236303,0.5,0.180902,0.336775,,,,,,,0.215137,0.209952,0.00089169,0.00097621,
M1_SCAT32-SAFE_00_c0004,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,50.0,1024,0,m1_chirp_0,RQL,6.1072,0.00788,,0.68561,0.02395,0.531913,2.44,0.0025599999999999998,0.0,0.0,0.11,0.113,6.106,1.51363,2.399199,2.162714,2e-06,31.055185,0.5,0.285722,0.531913,,,,,,,0.215137,0.331964,0.00237846,0.00244053,
M1_SCAT32-SAFE_00_c0005,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,100.0,1024,0,m1_chirp_0,RQL,6.2628,0.02367,,0.67336,-0.00127,0.751968,4.76,0.0051199999999999996,0.0,0.0,0.1,0.098,6.2626,1.851399,5.477555,4.322308,5e-06,31.036906,0.5,0.403926,0.751968,,,,,,,0.215137,0.469467,0.00464916,0.00488107,
M1_SCAT32-SAFE_00_c0006,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,200.0,1024,0,m1_chirp_0,RQL,6.142,0.01153,,0.68279,-0.00125,1.063251,9.51,0.010239999999999999,0.0,0.0,0.12,0.124,6.1419,1.704463,12.948058,8.641496,9e-06,31.433555,0.5,0.571134,1.063251,,,,,,,0.215137,0.663927,0.00928688,0.00976214,
M1_SCAT32-SAFE_00_c0007,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,500.0,1024,0,m1_chirp_0,RQL,6.3471,0.03767,,0.6671,-0.0116,1.680966,23.56,0.025599999999999998,0.0,0.0,0.14,0.141,6.3437,1.567135,46.267256,21.59906,2.3e-05,31.341916,0.5,0.902945,1.680966,,,,,,,0.215137,1.049761,0.02300739,0.02440535,
M1_SCAT32-SAFE_00_c0008,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,1000.0,1024,0,m1_chirp_0,RQL,6.716,0.10206,,0.63932,-0.00624,2.377158,47.4,0.051199999999999996,0.0,0.0,0.14,0.143,6.7132,1.533346,139.307624,43.195,4.5e-05,31.204424,0.5,1.27691,2.377158,,,,,,,0.215137,1.484586,0.04628754,0.04881069,
M1_SCAT32-SAFE_00_c0009,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,2000.0,1024,0,m1_chirp_0,RQL,7.0784,0.18077,,0.61353,-0.0101,3.361749,94.48,0.10239999999999999,0.0,0.0,0.16,0.164,7.0709,1.55732,479.417099,86.38688,9.1e-05,31.411207,0.5,1.805791,3.361749,,,,,,,0.215137,2.099522,0.09226704,0.09762138,
M1_SCAT32-SAFE_00_c0010,M1_SCAT32-SAFE_00,32,m1pat:SCAT32-SAFE:m1_chirp_0,0.05,5.0,1024,1,m1_chirp_0,RQL,6.0731,0.00381,,0.68881,0.04191,0.169294,0.25,0.000256,0.0,0.0,0.09,0.089,6.0656,1.0,0.219055,0.219079,0.0,31.401237,0.5,0.090938,0.169294,,,,,,,0.215137,0.104976,0.00024128,0.00024405,
