cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_SCAT16_00_c0001,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,5.0,1024,0,m1_chirp_0,RQL,6.1426,0.00958,,0.68299,0.03607,0.684047,1.92,0.000256,0.0,0.0,0.3,0.298,6.1393,1.115632,0.932991,0.82747,0.0,61.028164,0.5,0.367442,0.684047,,,,,,,0.233237,0.319373,0.00187302,0.00293136,
M1_SCAT16_00_c0002,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,10.0,1024,0,m1_chirp_0,RQL,2.5068,0.30362,,1.02472,-0.01614,0.939193,3.71,0.000512,0.0,0.0,0.83,0.831,2.6155,1.294039,2.014288,1.559875,0.0,60.814057,0.5,0.504495,0.939193,,,,,,,0.233237,0.451662,0.00362778,0.00586272,
M1_SCAT16_00_c0003,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,20.0,1024,0,m1_chirp_0,RQL,2.9328,0.3045,,0.98094,-0.00919,1.307834,7.47,0.001024,0.0,0.0,0.82,0.818,2.9947,1.078961,4.494795,3.024719,0.0,61.180956,0.5,0.702514,1.307834,,,,,,,0.233237,0.638746,0.00729847,0.01172544,
M1_SCAT16_00_c0004,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,50.0,1024,0,m1_chirp_0,RQL,3.8881,0.43008,,0.87319,-0.01661,2.048283,18.6,0.0025599999999999998,0.0,0.0,0.83,0.832,4.0054,1.0,15.026163,7.41925,1e-06,60.965572,0.5,1.100252,2.048283,,,,,,,0.233237,1.009946,0.01816082,0.02931359,
M1_SCAT16_00_c0005,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,100.0,1024,0,m1_chirp_0,RQL,7.0325,0.16411,,0.61734,-0.02075,2.887419,37.07,0.0051199999999999996,0.0,0.0,0.78,0.778,7.017,1.122605,51.885053,14.743469,2e-06,61.215285,0.5,1.551001,2.887419,,,,,,,0.233237,1.42828,0.03620338,0.05862718,
M1_SCAT16_00_c0006,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,200.0,1024,0,m1_chirp_0,RQL,4.7606,0.52234,,0.78858,-0.01815,4.076842,74.26,0.010239999999999999,0.0,0.0,0.83,0.834,4.8907,1.0,152.052387,29.391907,4e-06,60.848491,0.5,2.189909,4.076842,,,,,,,0.233237,2.019893,0.07251644,0.11725436,
M1_SCAT16_00_c0007,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,500.0,1024,0,m1_chirp_0,RQL,4.9777,0.54007,,0.76727,-0.02076,6.439797,185.47,0.025599999999999998,0.0,0.0,0.82,0.819,5.1286,1.014391,905.035854,73.337219,1e-05,61.044551,0.5,3.45919,6.439797,,,,,,,0.233237,3.193731,0.18112278,0.29313591,
M1_SCAT16_00_c0008,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,1000.0,1024,0,m1_chirp_0,RQL,4.9187,0.54411,,0.77071,-0.0232,9.104298,370.45,0.051199999999999996,0.0,0.0,0.86,0.861,5.0898,1.0,3266.59598,146.579407,2e-05,60.925906,0.5,4.890449,9.104298,,,,,,,0.233237,4.516617,0.361763,0.58627182,
M1_SCAT16_00_c0009,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,2000.0,1024,0,m1_chirp_0,RQL,4.9617,0.54894,,0.76606,-0.02451,12.873335,740.46,0.10239999999999999,0.0,0.0,0.16,0.155,5.1423,1.0,13077.30428,293.063782,3.9e-05,61.086041,0.5,6.915018,12.873335,,,,,,,0.233237,6.387461,0.72310448,1.17254364,
M1_SCAT16_00_c0010,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,5.0,1024,1,m1_chirp_0,RQL,6.1167,0.00634,,0.68478,0.01133,0.684047,1.89,0.000256,0.0,0.0,0.1,0.103,6.1165,1.205528,0.941377,0.82747,0.0,60.965556,0.5,0.367442,0.684047,,,,,,,0.230829,0.316075,0.00184536,0.00292519,
M1_SCAT16_00_c0011,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,10.0,1024,1,m1_chirp_0,RQL,6.0761,0.00602,,0.68807,0.02075,0.939193,3.8,0.000512,0.0,0.0,0.13,0.129,6.0749,1.000987,1.912789,1.559875,0.0,61.057834,0.5,0.504495,0.939193,,,,,,,0.230829,0.446998,0.00370979,0.00585037,
M1_SCAT16_00_c0012,M1_SCAT16_00,32,m1pat:SCAT16:m1_chirp_0,0.6,20.0,1024,1,m1_chirp_0,RQL,6.2239,0.01808,,0.67694,-0.02782,1.307834,7.37,0.001024,0.0,0.0,0.1,0.102,6.2166,1.0,4.345113,3.024719,0.0,61.135679,0.5,0.702514,1.307834,,,,,,,0.230829,0.63215,0.00719833,0.01170075,
