cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_SCAT32-060_00_c0001,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,5.0,1024,0,m1_chirp_0,RQL,6.0849,0.0045,,0.68833,0.05809,0.501358,1.93,0.000256,0.0,0.0,0.65,0.632,6.0717,1.80683,0.914984,0.82747,0.0,31.25144,0.5,0.269309,0.501358,,,,,,,0.215137,0.294588,0.00188446,0.00292864,
M1_SCAT32-060_00_c0002,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,10.0,1024,0,m1_chirp_0,RQL,6.1359,0.01112,,0.68344,-0.0141,0.688362,3.7,0.000512,0.0,0.0,0.24,0.241,6.1336,1.410001,1.815715,1.559875,0.0,31.423168,0.5,0.369759,0.688362,,,,,,,0.215137,0.416611,0.00361633,0.00585728,
M1_SCAT32-060_00_c0003,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,20.0,1024,0,m1_chirp_0,RQL,6.1468,0.01295,,0.68251,0.02387,0.95855,7.58,0.001024,0.0,0.0,0.25,0.251,6.1454,1.756611,4.237513,3.024719,0.0,31.002277,0.5,0.514893,0.95855,,,,,,,0.215137,0.589177,0.00739765,0.01171457,
M1_SCAT32-060_00_c0004,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,50.0,1024,0,m1_chirp_0,RQL,6.4767,0.05509,,0.65714,-0.00757,1.501247,18.59,0.0025599999999999998,0.0,0.0,0.11,0.113,6.4744,1.53807,13.962486,7.41925,1e-06,31.250995,0.5,0.806407,1.501247,,,,,,,0.215137,0.93157,0.01815224,0.02928642,
M1_SCAT32-060_00_c0005,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,100.0,1024,0,m1_chirp_0,RQL,6.553,0.06949,,0.65169,-0.01401,2.116274,37.01,0.0051199999999999996,0.0,0.0,0.12,0.118,6.5468,1.571181,41.289927,14.743469,2e-06,31.261262,0.5,1.136774,2.116274,,,,,,,0.215137,1.317439,0.0361433,0.05857283,
M1_SCAT32-060_00_c0006,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,200.0,1024,0,m1_chirp_0,RQL,6.9564,0.15174,,0.62251,-0.01579,2.988037,73.95,0.010239999999999999,0.0,0.0,0.13,0.132,6.9447,1.563926,135.040717,29.391907,4e-06,31.364519,0.5,1.605049,2.988037,,,,,,,0.215137,1.863141,0.07221508,0.11714566,
M1_SCAT32-060_00_c0007,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,500.0,1024,0,m1_chirp_0,RQL,7.5452,0.26342,,0.58153,-0.00847,4.719916,185.73,0.025599999999999998,0.0,0.0,0.16,0.164,7.5361,1.52061,710.247027,73.337219,1e-05,31.185031,0.5,2.535342,4.719916,,,,,,,0.215137,2.945884,0.18137741,0.29286415,
M1_SCAT32-060_00_c0008,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,1000.0,1024,0,m1_chirp_0,RQL,8.5357,0.43441,,0.51983,-0.01311,6.672807,370.18,0.051199999999999996,0.0,0.0,0.18,0.182,8.5103,1.612498,2833.60207,146.579407,2e-05,31.040158,0.5,3.584353,6.672807,,,,,,,0.215137,4.166109,0.3615036,0.5857283,
M1_SCAT32-060_00_c0009,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,2000.0,1024,0,m1_chirp_0,RQL,9.7828,0.59989,,0.4505,-0.00923,9.435244,741.77,0.10239999999999999,0.0,0.0,0.21,0.206,9.7537,1.522267,10519.564132,293.063782,3.9e-05,31.296132,0.5,5.068219,9.435244,,,,,,,0.215137,5.891768,0.72438431,1.1714566,
M1_SCAT32-060_00_c0010,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,5.0,1024,1,m1_chirp_0,RQL,6.1736,0.01024,,0.68058,0.0349,0.501358,1.91,0.000256,0.0,0.0,0.08,0.084,6.17,1.872278,0.918029,0.82747,0.0,31.208379,0.5,0.269309,0.501358,,,,,,,0.215137,0.294588,0.00186348,0.00292864,
M1_SCAT32-060_00_c0011,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,10.0,1024,1,m1_chirp_0,RQL,6.0524,0.00727,,0.68998,0.01706,0.688362,3.78,0.000512,0.0,0.0,0.1,0.1,6.0508,1.302913,1.795842,1.559875,0.0,31.364341,0.5,0.369759,0.688362,,,,,,,0.215137,0.416611,0.00368786,0.00585728,
M1_SCAT32-060_00_c0012,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,20.0,1024,1,m1_chirp_0,RQL,6.1676,0.0158,,0.6808,0.02552,0.95855,7.59,0.001024,0.0,0.0,0.11,0.114,6.1672,1.693087,4.205943,3.024719,0.0,31.328181,0.5,0.514893,0.95855,,,,,,,0.215137,0.589177,0.00740814,0.01171457,
M1_SCAT32-060_00_c0013,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,50.0,1024,1,m1_chirp_0,RQL,6.2348,0.02053,,0.67558,-0.00482,1.501247,18.61,0.0025599999999999998,0.0,0.0,0.11,0.113,6.234,1.341015,13.158166,7.41925,1e-06,31.437162,0.5,0.806407,1.501247,,,,,,,0.215137,0.93157,0.01817036,0.02928642,
M1_SCAT32-060_00_c0014,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,100.0,1024,1,m1_chirp_0,RQL,6.4826,0.06201,,0.65668,-0.00608,2.116274,37.2,0.0051199999999999996,0.0,0.0,0.12,0.123,6.4805,1.604877,41.844796,14.743469,2e-06,31.244599,0.5,1.136774,2.116274,,,,,,,0.215137,1.317439,0.03632355,0.05857283,
M1_SCAT32-060_00_c0015,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,200.0,1024,1,m1_chirp_0,RQL,6.8547,0.13467,,0.62916,-0.00401,2.988037,74.49,0.010239999999999999,0.0,0.0,0.12,0.121,6.8523,1.526915,131.907613,29.391907,4e-06,31.172095,0.5,1.605049,2.988037,,,,,,,0.215137,1.863141,0.07274246,0.11714566,
M1_SCAT32-060_00_c0016,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,500.0,1024,1,m1_chirp_0,RQL,7.5768,0.27665,,0.57948,-0.00911,4.719916,185.65,0.025599999999999998,0.0,0.0,0.17,0.165,7.5668,1.467473,688.090691,73.337219,1e-05,31.190119,0.5,2.535342,4.719916,,,,,,,0.215137,2.945884,0.18130302,0.29286415,
M1_SCAT32-060_00_c0017,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,1000.0,1024,1,m1_chirp_0,RQL,8.4425,0.42038,,0.52499,-0.00996,6.672807,370.95,0.051199999999999996,0.0,0.0,0.19,0.188,8.4245,1.496338,2663.905616,146.579407,2e-05,31.337292,0.5,3.584353,6.672807,,,,,,,0.215137,4.166109,0.36225986,0.5857283,
M1_SCAT32-060_00_c0018,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,2000.0,1024,1,m1_chirp_0,RQL,9.8155,0.61089,,0.4489,-0.00999,9.435244,741.46,0.10239999999999999,0.0,0.0,0.19,0.193,9.7845,1.527944,10535.700864,293.063782,3.9e-05,31.229066,0.5,5.068219,9.435244,,,,,,,0.215137,5.891768,0.72408104,1.1714566,
M1_SCAT32-060_00_c0019,M1_SCAT32-060_00,32,m1pat:SCAT32-060:m1_chirp_0,0.6,5.0,1024,2,m1_chirp_0,RQL,6.1175,0.0065,,0.68605,0.06621,0.501358,1.94,0.000256,0.0,0.0,0.1,0.099,6.1005,1.321379,0.891573,0.82747,0.0,31.301157,0.5,0.269309,0.501358,,,,,,,0.215137,0.294588,0.0018959,0.00292864,
