cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,cnr,C_u,Gamma,S_det,S_inc,k_occupancy
M1_RIDGE-SCAT32_00_c0012,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.9714605843608383,20.0,1024,1,m1_chirp_0,RQL,6.1533,0.00949,,0.68185,0.01049,1.106452,9.86,0.001024,0.0,0.0,0.1,0.1,6.1539,1.277125,3.669965,2.654513,0.0,31.033224,0.5,0.59434,1.106452,,,,,,,0.215137,0.675381,0.00963211,0.01896707,
M1_RIDGE-SCAT32_00_c0013,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,2.411218142565894,50.0,1024,1,m1_chirp_0,RQL,6.5968,0.07936,,0.64786,0.00347,2.087832,35.23,0.0025599999999999998,0.0,0.0,0.12,0.122,6.598,1.614688,8.595529,3.156952,0.0,31.241241,0.5,1.121496,2.087832,,,,,,,0.215137,1.278979,0.03440094,0.11769323,
M1_RIDGE-SCAT32_00_c0014,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,4.798474880204776,100.0,1024,1,m1_chirp_0,RQL,6.9021,0.14986,,0.62542,0.00386,3.198028,82.53,0.0051199999999999996,0.0,0.0,0.12,0.122,6.9042,1.772157,13.738846,2.563498,0.0,31.185236,0.5,1.717847,3.198028,,,,,,,0.215137,1.957085,0.08059597,0.46843376,
M1_RIDGE-SCAT32_00_c0015,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,9.557647771569053,200.0,1024,1,m1_chirp_0,RQL,7.6266,0.28939,,0.57555,-0.00078,4.762363,180.64,0.010239999999999999,0.0,0.0,0.16,0.163,7.6259,1.764702,17.683068,1.714772,0.0,31.222746,0.5,2.558143,4.762363,,,,,,,0.215137,2.894822,0.17640305,1.8660616,
M1_RIDGE-SCAT32_00_c0016,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,13.805668080728806,500.0,1024,1,m1_chirp_0,RQL,8.9183,0.4907,,0.49646,-0.00397,7.588871,465.22,0.025599999999999998,0.0,0.0,0.17,0.166,8.9099,1.719269,54.725779,2.214084,0.0,31.42324,0.5,4.076425,7.588871,,,,,,,0.215137,4.64531,0.45431519,6.73864209,
M1_RIDGE-SCAT32_00_c0017,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,17.540938212081567,1000.0,1024,1,m1_chirp_0,RQL,10.4093,0.65827,,0.41843,-0.00388,10.759344,944.24,0.051199999999999996,0.0,0.0,0.22,0.219,10.3951,1.716879,139.395792,2.837946,0.0,31.223154,0.5,5.779471,10.759344,,,,,,,0.215137,6.61722,0.92210484,17.12370655,
M1_RIDGE-SCAT32_00_c0018,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,22.25454777474566,2000.0,1024,1,m1_chirp_0,RQL,12.1478,0.79256,,0.34332,-0.00599,15.250212,1910.54,0.10239999999999999,0.0,0.0,0.25,0.246,12.1136,1.846703,382.658806,3.624364,0.0,30.995604,0.5,8.191778,15.250212,,,,,,,0.215137,9.412076,1.86576366,43.45039482,
M1_RIDGE-SCAT32_00_c0019,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.24660753678916084,5.0,1024,2,m1_chirp_0,RQL,6.0373,0.00928,,0.6914,-0.03114,0.353184,0.96,0.000256,0.0,0.0,0.09,0.089,6.033,1.0,0.672936,0.676454,0.0,31.473147,0.5,0.189716,0.353184,,,,,,,0.215137,0.213963,0.00093937,0.00120371,
M1_RIDGE-SCAT32_00_c0020,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.4886910305313082,10.0,1024,2,m1_chirp_0,RQL,6.0939,0.00482,,0.6873,0.05032,0.641125,3.38,0.000512,0.0,0.0,0.1,0.103,6.0846,1.021348,1.724176,1.563048,0.0,31.145254,0.5,0.344386,0.641125,,,,,,,0.215137,0.389789,0.00329971,0.00477067,
M1_RIDGE-SCAT32_00_c0021,M1_RIDGE-SCAT32_00,32,m1pat:RIDGE-SCAT32:m1_chirp_0,0.97129725234094,20.0,1024,2,m1_chirp_0,RQL,6.3141,0.02615,,0.66928,0.02073,1.106402,9.91,0.001024,0.0,0.0,0.11,0.106,6.3154,1.972307,4.232086,2.654712,0.0,31.215119,0.5,0.594313,1.106402,,,,,,,0.215137,0.675352,0.00967503,0.01896388,
