side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect,c_force
64,bern50,0.05,1000.0,4096,1,dev_text,RQL,14.2115,0.12598,,0.85382,0.00093,0.159091,47.68,0.20479999999999998,0.0,0.0,10.03,10.025,14.2125,23.142977,54.813682,43.195,4.5e-05,0.999709,0.25,0.156023,0.159091,,,,,,0.25
64,bern50,0.05,1000.0,4096,1,dev_fine_lines,RQL,5.9537,0.00834,,0.76181,0.00122,0.159091,47.67,0.20479999999999998,0.0,0.0,9.32,9.322,5.9533,4.8612,45.635513,43.195,4.5e-05,0.999709,0.25,0.156023,0.159091,,,,,,0.25
64,bern50,0.05,1000.0,4096,0,dev_stl_00,RQL,18.5626,0.28411,,0.23466,-0.00029,0.31885,47.59,0.20479999999999998,0.0,0.0,6.98,6.982,18.5627,1.0,43.128056,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,0,dev_stl_01,RQL,15.9819,0.15365,,0.3021,-0.00055,0.31885,47.58,0.20479999999999998,0.0,0.0,7.2,7.196,15.982,5.186825,45.798953,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,0,dev_stl_02,RQL,15.5142,0.15875,,0.34948,0.00277,0.31885,47.73,0.20479999999999998,0.0,0.0,6.98,6.975,15.5149,1.328549,43.861974,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,0,dev_stl_03,RQL,15.0188,0.15652,,0.64164,-0.00207,0.31885,47.51,0.20479999999999998,0.0,0.0,6.91,6.905,15.0184,1.745736,44.071416,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,0,dev_text,RQL,13.5497,0.05258,,0.92184,-0.00666,0.31885,47.29,0.20479999999999998,0.0,0.0,8.33,8.325,13.5467,21.198645,53.837403,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,0,dev_fine_lines,RQL,6.1394,0.00422,,0.74566,0.00146,0.31885,47.67,0.20479999999999998,0.0,0.0,6.89,6.892,6.1394,1.0,43.21195,43.195,4.5e-05,0.999695,0.5,0.15635,0.31885,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_stl_00,RQL,18.5516,0.26107,,0.23502,0.00331,0.318183,47.76,0.20479999999999998,0.0,0.0,6.95,6.95,18.5496,4.830938,45.62032,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_stl_01,RQL,15.9275,0.15218,,0.30399,-0.00189,0.318183,47.53,0.20479999999999998,0.0,0.0,7.45,7.451,15.9278,1.0,42.5999,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_stl_02,RQL,15.8568,0.16451,,0.33607,-0.0031,0.318183,47.47,0.20479999999999998,0.0,0.0,6.06,6.06,15.8546,1.0,41.882243,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_stl_03,RQL,14.871,0.1584,,0.65265,-0.00403,0.318183,47.43,0.20479999999999998,0.0,0.0,8.7,8.698,14.8706,2.58548,44.493012,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_text,RQL,13.5599,0.05201,,0.92039,0.00121,0.318183,47.68,0.20479999999999998,0.0,0.0,8.46,8.463,13.5604,23.142977,54.813682,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,1000.0,4096,1,dev_fine_lines,RQL,6.1115,0.00418,,0.74806,0.0013,0.318183,47.67,0.20479999999999998,0.0,0.0,11.09,11.09,6.1115,4.8612,45.635513,43.195,4.5e-05,0.999709,0.5,0.156023,0.318183,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_stl_00,RQL,14.4231,0.21434,,0.37594,-0.00773,0.050431,4.73,0.020479999999999998,0.0,0.0,8.12,8.028,14.4692,1.0,4.282631,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_stl_01,RQL,12.8893,0.12948,,0.4284,-0.01501,0.050431,4.69,0.020479999999999998,0.0,0.0,6.48,6.474,12.9479,24.512376,4.445473,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_stl_02,RQL,13.9161,0.09567,,0.41995,-0.00193,0.050431,4.75,0.020479999999999998,0.0,0.0,6.2,6.199,13.9192,1.0,4.190804,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_stl_03,RQL,15.0207,0.14734,,0.64133,-0.00906,0.050431,4.72,0.020479999999999998,0.0,0.0,6.39,6.39,15.0225,30.383025,4.474971,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_text,RQL,13.4828,0.05832,,0.92857,0.00233,0.050431,4.77,0.020479999999999998,0.0,0.0,7.83,7.829,13.4835,38.44108,4.51546,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_fine_lines,RQL,5.853,0.00621,,0.77047,-0.00489,0.050431,4.74,0.020479999999999998,0.0,0.0,6.45,6.45,5.8551,1.0,4.274037,4.322308,5e-06,0.999693,0.25,0.049458,0.050431,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_stl_00,RQL,14.9653,0.18276,,0.35519,0.00049,0.050325,4.76,0.020479999999999998,0.0,0.0,5.93,5.927,14.9624,1.0,4.319973,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_stl_01,RQL,12.6136,0.14493,,0.44543,0.00094,0.050325,4.77,0.020479999999999998,0.0,0.0,6.33,6.332,12.6094,1.0,4.276689,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_stl_02,RQL,15.199,0.14559,,0.36231,-0.00331,0.050325,4.75,0.020479999999999998,0.0,0.0,5.75,5.747,15.2016,16.827061,4.406858,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_stl_03,RQL,15.0424,0.15358,,0.63991,-0.00364,0.050325,4.75,0.020479999999999998,0.0,0.0,6.18,6.179,15.0417,12.06463,4.382928,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_text,RQL,13.3364,0.06046,,0.94469,-0.01079,0.050325,4.71,0.020479999999999998,0.0,0.0,6.14,6.141,13.334,1.0,4.187969,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,1,dev_fine_lines,RQL,5.8974,0.00479,,0.76713,0.00924,0.050325,4.8,0.020479999999999998,0.0,0.0,5.81,5.808,5.8929,1.0,4.19431,4.322308,5e-06,0.999698,0.25,0.049355,0.050325,,,,,,0.25
64,bern50,0.05,100.0,4096,0,dev_stl_00,RQL,18.6709,0.27629,,0.23189,-0.00743,0.100862,4.73,0.020479999999999998,0.0,0.0,6.19,6.188,18.6661,1.0,4.282631,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_stl_01,RQL,15.9834,0.15336,,0.30238,-0.01488,0.100862,4.69,0.020479999999999998,0.0,0.0,5.9,5.894,15.9738,24.512376,4.445473,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_stl_02,RQL,15.0484,0.14277,,0.36877,-0.00174,0.100862,4.75,0.020479999999999998,0.0,0.0,5.24,5.24,15.0481,1.0,4.190804,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_stl_03,RQL,14.8163,0.14925,,0.6568,-0.00875,0.100862,4.72,0.020479999999999998,0.0,0.0,4.35,4.345,14.8155,30.383025,4.474971,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_text,RQL,13.0986,0.02827,,0.97064,0.00261,0.100862,4.77,0.020479999999999998,0.0,0.0,6.18,6.183,13.0987,38.44108,4.51546,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,0,dev_fine_lines,RQL,6.0815,0.00392,,0.75064,-0.00462,0.100862,4.74,0.020479999999999998,0.0,0.0,4.98,4.975,6.0815,1.0,4.274037,4.322308,5e-06,0.999693,0.5,0.049458,0.100862,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_stl_00,RQL,18.4746,0.27239,,0.23706,0.00086,0.100651,4.76,0.020479999999999998,0.0,0.0,5.54,5.543,18.4743,1.0,4.319973,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_stl_01,RQL,15.6969,0.14928,,0.3122,0.00142,0.100651,4.77,0.020479999999999998,0.0,0.0,5.12,5.114,15.6963,1.0,4.276689,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_stl_02,RQL,15.2255,0.1414,,0.36136,-0.00317,0.100651,4.75,0.020479999999999998,0.0,0.0,4.96,4.962,15.2244,16.827061,4.406858,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_stl_03,RQL,14.8172,0.14741,,0.65668,-0.0035,0.100651,4.75,0.020479999999999998,0.0,0.0,4.88,4.876,14.817,12.06463,4.382928,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_text,RQL,13.0892,0.02824,,0.97172,-0.01036,0.100651,4.71,0.020479999999999998,0.0,0.0,5.87,5.869,13.089,1.0,4.187969,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,100.0,4096,1,dev_fine_lines,RQL,6.0765,0.00365,,0.75112,0.00941,0.100651,4.8,0.020479999999999998,0.0,0.0,5.62,5.62,6.076,1.0,4.19431,4.322308,5e-06,0.999698,0.5,0.049355,0.100651,,,,,,0.5
64,bern50,0.05,10.0,4096,0,dev_stl_00,RQL,13.7708,0.26718,,0.41273,0.01855,0.015999,0.48,0.002048,0.0,0.0,8.27,8.171,13.6582,64.0,0.452754,0.435039,0.0,0.999696,0.25,0.015691,0.015999,,,,,,0.25
