image,rho_bar,nu,seed,C0,C_hat,c_pick,P_25,P_50,P_max,P_pick,regret
dev_fine_lines,0.05,100.0,1,16,1.0,0.5,5.8929,6.076,6.076,6.076,0.0
dev_fine_lines,0.05,10.0,0,16,1.0,0.5,2.8188,6.0666,6.0666,6.0666,0.0
dev_fine_lines,0.05,10.0,1,16,5.910314,0.5,5.9029,6.1197,6.1197,6.1197,0.0
dev_fine_lines,0.05,2000.0,0,16,1.291226,0.5,6.0967,6.1604,6.1604,6.1604,0.0
dev_fine_lines,0.05,2000.0,1,16,4.53467,0.5,6.1044,6.1749,6.1749,6.1749,0.0
dev_fine_lines,0.05,200.0,0,16,1.0,0.5,5.9642,6.1184,6.1184,6.1184,0.0
dev_fine_lines,0.05,200.0,1,16,1.0,0.5,6.1487,6.1284,6.1487,6.1284,0.0203
dev_fine_lines,0.05,20.0,0,16,64.0,0.25,5.9208,6.0866,6.0866,5.9208,0.1658
dev_fine_lines,0.05,20.0,1,16,7.280155,0.5,6.0052,6.1013,6.1013,6.1013,0.0
dev_fine_lines,0.05,500.0,0,16,1.0,0.5,6.0091,6.0998,6.0998,6.0998,0.0
dev_fine_lines,0.05,500.0,1,16,2.451116,0.5,6.1486,6.1782,6.1782,6.1782,0.0
dev_fine_lines,0.05,50.0,0,16,1.0,0.5,6.0944,6.1034,6.1034,6.1034,0.0
dev_fine_lines,0.05,50.0,1,16,15.474135,0.5,6.062,6.0871,6.0871,6.0871,0.0
dev_fine_lines,0.05,5.0,0,16,1.0,0.5,5.8101,6.0534,6.0534,6.0534,0.0
dev_fine_lines,0.05,5.0,1,16,64.0,0.25,5.7473,6.0673,6.0673,5.7473,0.32
dev_fine_lines,0.6,1000.0,0,16,2.466126,0.5,6.2184,6.2547,6.2547,6.2547,0.0
dev_fine_lines,0.6,1000.0,1,16,2.239101,0.5,6.1721,6.2284,6.2284,6.2284,0.0
dev_fine_lines,0.6,100.0,0,16,6.774676,0.5,6.0697,6.1487,6.1487,6.1487,0.0
dev_fine_lines,0.6,100.0,1,16,1.0,0.5,6.0726,6.1223,6.1223,6.1223,0.0
dev_fine_lines,0.6,10.0,0,16,14.865635,0.5,5.9054,6.1377,6.1377,6.1377,0.0
dev_fine_lines,0.6,10.0,1,16,13.261605,0.5,5.9974,6.096,6.096,6.096,0.0
dev_fine_lines,0.6,2000.0,0,16,2.367149,0.5,6.2761,6.2586,6.2761,6.2586,0.0175
dev_fine_lines,0.6,2000.0,1,16,2.191308,0.5,6.1921,6.2194,6.2194,6.2194,0.0
dev_fine_lines,0.6,200.0,0,16,3.872234,0.5,6.1914,6.2434,6.2434,6.2434,0.0
dev_fine_lines,0.6,200.0,1,16,2.706329,0.5,6.1062,6.1872,6.1872,6.1872,0.0
dev_fine_lines,0.6,20.0,0,16,1.568906,0.5,5.9872,6.1178,6.1178,6.1178,0.0
dev_fine_lines,0.6,20.0,1,16,1.0,0.5,5.8102,6.119,6.119,6.119,0.0
dev_fine_lines,0.6,500.0,0,16,1.754849,0.5,6.1625,6.2101,6.2101,6.2101,0.0
dev_fine_lines,0.6,500.0,1,16,2.900417,0.5,6.1417,6.1957,6.1957,6.1957,0.0
dev_fine_lines,0.6,50.0,0,16,8.719513,0.5,6.0467,6.1657,6.1657,6.1657,0.0
dev_fine_lines,0.6,50.0,1,16,1.0,0.5,5.8505,6.0304,6.0304,6.0304,0.0
dev_fine_lines,0.6,5.0,0,16,63.81043,0.25,-5.4506,6.0863,6.0863,-5.4506,11.5369
dev_fine_lines,0.6,5.0,1,16,31.513707,0.25,5.2785,6.0859,6.0859,5.2785,0.8074
dev_stl_00,0.05,1000.0,0,16,1.0,0.5,15.5966,18.5627,18.5627,18.5627,0.0
dev_stl_00,0.05,1000.0,1,16,4.830938,0.5,16.2481,18.5496,18.5496,18.5496,0.0
dev_stl_00,0.05,100.0,0,16,1.0,0.5,14.4692,18.6661,18.6661,18.6661,0.0
dev_stl_00,0.05,100.0,1,16,1.0,0.5,14.9624,18.4743,18.4743,18.4743,0.0
dev_stl_00,0.05,10.0,0,16,64.0,0.25,13.6582,18.415,18.415,13.6582,4.7568
dev_stl_00,0.05,10.0,1,16,64.0,0.25,17.5188,18.4415,18.4415,17.5188,0.9227
dev_stl_00,0.05,2000.0,0,16,1.0,0.5,16.6673,18.4764,18.4764,18.4764,0.0
dev_stl_00,0.05,2000.0,1,16,1.173476,0.5,16.1541,18.2126,18.2126,18.2126,0.0
dev_stl_00,0.05,200.0,0,16,14.945201,0.5,16.1325,18.3752,18.3752,18.3752,0.0
dev_stl_00,0.05,200.0,1,16,9.712831,0.5,15.8362,18.5201,18.5201,18.5201,0.0
dev_stl_00,0.05,20.0,0,16,1.0,0.5,7.4669,18.3255,18.3255,18.3255,0.0
dev_stl_00,0.05,20.0,1,16,1.0,0.5,15.8452,18.383,18.383,18.383,0.0
dev_stl_00,0.05,500.0,0,16,2.403086,0.5,15.5801,18.4658,18.4658,18.4658,0.0
dev_stl_00,0.05,500.0,1,16,2.10415,0.5,17.4853,18.5407,18.5407,18.5407,0.0
dev_stl_00,0.05,50.0,0,16,1.0,0.5,17.0822,18.3055,18.3055,18.3055,0.0
dev_stl_00,0.05,50.0,1,16,1.0,0.5,15.8678,18.4951,18.4951,18.4951,0.0
dev_stl_00,0.05,5.0,0,16,1.0,0.5,15.4734,18.0074,18.0074,18.0074,0.0
dev_stl_00,0.05,5.0,1,16,1.0,0.5,14.9475,18.2295,18.2295,18.2295,0.0
dev_stl_00,0.6,1000.0,0,16,1.08514,0.5,16.7109,18.5056,18.5056,18.5056,0.0
dev_stl_00,0.6,1000.0,1,16,1.0,0.5,16.8652,18.5648,18.5648,18.5648,0.0
dev_stl_00,0.6,100.0,0,16,8.374046,0.5,15.1995,18.7176,18.7176,18.7176,0.0
dev_stl_00,0.6,100.0,1,16,1.0,0.5,17.2299,18.8199,18.8199,18.8199,0.0
dev_stl_00,0.6,10.0,0,16,15.45327,0.5,15.4336,18.4132,18.4132,18.4132,0.0
dev_stl_00,0.6,10.0,1,16,1.0,0.5,14.2396,18.3293,18.3293,18.3293,0.0
dev_stl_00,0.6,2000.0,0,16,1.153414,0.5,17.0891,18.9836,18.9836,18.9836,0.0
dev_stl_00,0.6,2000.0,1,16,1.159824,0.5,16.0215,18.5644,18.5644,18.5644,0.0
dev_stl_00,0.6,200.0,0,16,1.24475,0.5,16.145,17.7418,17.7418,17.7418,0.0
dev_stl_00,0.6,200.0,1,16,1.0,0.5,15.9595,18.3099,18.3099,18.3099,0.0
dev_stl_00,0.6,20.0,0,16,1.0,0.5,15.9551,18.4215,18.4215,18.4215,0.0
dev_stl_00,0.6,20.0,1,16,1.0,0.5,17.1317,18.2658,18.2658,18.2658,0.0
dev_stl_00,0.6,500.0,0,16,1.281201,0.5,17.6849,18.7634,18.7634,18.7634,0.0
dev_stl_00,0.6,500.0,1,16,1.349304,0.5,15.9555,18.2773,18.2773,18.2773,0.0
dev_stl_00,0.6,50.0,0,16,1.0,0.5,16.7038,18.2862,18.2862,18.2862,0.0
dev_stl_00,0.6,50.0,1,16,5.147009,0.5,15.3409,17.6214,17.6214,17.6214,0.0
dev_stl_00,0.6,5.0,0,16,1.0,0.5,13.4603,17.8884,17.8884,17.8884,0.0
dev_stl_00,0.6,5.0,1,16,1.0,0.5,15.3273,18.0959,18.0959,18.0959,0.0
dev_stl_01,0.05,1000.0,0,16,5.186825,0.5,14.7532,15.982,15.982,15.982,0.0
dev_stl_01,0.05,1000.0,1,16,1.0,0.5,15.0443,15.9278,15.9278,15.9278,0.0
dev_stl_01,0.05,100.0,0,16,24.512376,0.25,12.9479,15.9738,15.9738,12.9479,3.0259
dev_stl_01,0.05,100.0,1,16,1.0,0.5,12.6094,15.6963,15.6963,15.6963,0.0
dev_stl_01,0.05,10.0,0,16,9.560816,0.5,12.9248,15.7588,15.7588,15.7588,0.0
dev_stl_01,0.05,10.0,1,16,64.0,0.25,14.9232,16.0628,16.0628,14.9232,1.1396
dev_stl_01,0.05,2000.0,0,16,1.528511,0.5,15.1909,16.6921,16.6921,16.6921,0.0
dev_stl_01,0.05,2000.0,1,16,1.0,0.5,15.0681,15.7654,15.7654,15.7654,0.0
dev_stl_01,0.05,200.0,0,16,9.598553,0.5,14.7001,15.9597,15.9597,15.9597,0.0
dev_stl_01,0.05,200.0,1,16,1.0,0.5,14.2863,16.1617,16.1617,16.1617,0.0
dev_stl_01,0.05,20.0,0,16,1.0,0.5,12.963,15.8219,15.8219,15.8219,0.0
dev_stl_01,0.05,20.0,1,16,64.0,0.25,14.6039,15.9299,15.9299,14.6039,1.326
dev_stl_01,0.05,500.0,0,16,1.0,0.5,14.6124,16.0591,16.0591,16.0591,0.0
dev_stl_01,0.05,500.0,1,16,1.820633,0.5,15.5995,16.1106,16.1106,16.1106,0.0
dev_stl_01,0.05,50.0,0,16,16.989839,0.25,14.1299,16.4511,16.4511,14.1299,2.3212
dev_stl_01,0.05,50.0,1,16,1.0,0.5,13.3927,16.2953,16.2953,16.2953,0.0
dev_stl_01,0.05,5.0,0,16,64.0,0.25,12.1821,16.1986,16.1986,12.1821,4.0165
dev_stl_01,0.05,5.0,1,16,1.0,0.5,12.6467,16.0142,16.0142,16.0142,0.0
dev_stl_01,0.6,1000.0,0,16,1.052064,0.5,15.4223,16.8124,16.8124,16.8124,0.0
dev_stl_01,0.6,1000.0,1,16,1.191102,0.5,15.5707,16.8853,16.8853,16.8853,0.0
dev_stl_01,0.6,100.0,0,16,1.0,0.5,15.2521,15.9642,15.9642,15.9642,0.0
dev_stl_01,0.6,100.0,1,16,1.0,0.5,14.6584,16.2844,16.2844,16.2844,0.0
dev_stl_01,0.6,10.0,0,16,48.813419,0.25,13.0384,15.2164,15.2164,13.0384,2.178
dev_stl_01,0.6,10.0,1,16,1.0,0.5,14.1196,16.0146,16.0146,16.0146,0.0
dev_stl_01,0.6,2000.0,0,16,1.41105,0.5,15.7028,16.7782,16.7782,16.7782,0.0
dev_stl_01,0.6,2000.0,1,16,1.517375,0.5,16.1271,17.1041,17.1041,17.1041,0.0
dev_stl_01,0.6,200.0,0,16,1.0,0.5,15.5171,16.4232,16.4232,16.4232,0.0
dev_stl_01,0.6,200.0,1,16,1.0,0.5,15.4016,16.3427,16.3427,16.3427,0.0
dev_stl_01,0.6,20.0,0,16,1.0,0.5,13.6337,15.5516,15.5516,15.5516,0.0
dev_stl_01,0.6,20.0,1,16,1.0,0.5,15.6019,16.3205,16.3205,16.3205,0.0
dev_stl_01,0.6,500.0,0,16,1.0,0.5,15.8256,16.5778,16.5778,16.5778,0.0
dev_stl_01,0.6,500.0,1,16,1.753871,0.5,16.0686,16.6613,16.6613,16.6613,0.0
dev_stl_01,0.6,50.0,0,16,9.191138,0.5,13.7775,15.7486,15.7486,15.7486,0.0
dev_stl_01,0.6,50.0,1,16,1.0,0.5,14.4747,16.0405,16.0405,16.0405,0.0
