cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_00,RQL,12.5073,0.15032,,0.3992,0.0285,0.031932,0.49,0.002048,0.0,0.0,64.41,64.398,12.4877,64.0,0.438932,0.435039,0.0,0.999712,0.5,0.015658,0.031932,OK,1.1044,0.125,0.1,False
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_00,POISSON-LIN,12.5399,0.15057,,0.3973,-0.0218,0.030411,0.49,0.002048,0.0,0.0,2.98,2.977,12.5291,64.0,0.438932,0.435039,0.0,0.999712,0.5,0.014912,0.030411,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_00,SAT-POISSON,12.5424,0.15067,,0.39756,0.02853,0.028963,0.49,0.002048,0.0,0.0,2.97,2.972,12.5234,64.0,0.438932,0.435039,0.0,0.999712,0.5,0.014202,0.028963,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,37136405301.7962,0.49,0.002048,0.0,0.0,1.67,1.67,4.5114,64.0,0.438932,0.435039,0.0,0.999712,0.5,18210065472.281376,37136405301.7962,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_01,RQL,18.0465,0.24918,,0.26332,0.05391,0.031932,0.5,0.002048,0.0,0.0,62.87,62.872,17.8704,64.0,0.463746,0.435039,0.0,0.999712,0.5,0.015658,0.031932,OK,1.053,0.275,0.8,False
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_01,POISSON-LIN,18.0509,0.24945,,0.25791,0.00115,0.030411,0.5,0.002048,0.0,0.0,3.33,3.332,18.0508,64.0,0.463746,0.435039,0.0,0.999712,0.5,0.014912,0.030411,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_01,SAT-POISSON,18.0563,0.24941,,0.26299,0.05391,0.028963,0.5,0.002048,0.0,0.0,3.31,3.313,17.8811,64.0,0.463746,0.435039,0.0,0.999712,0.5,0.014202,0.028963,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,37136405301.7962,0.5,0.002048,0.0,0.0,1.68,1.683,6.28,64.0,0.463746,0.435039,0.0,0.999712,0.5,18210065472.281376,37136405301.7962,,,,,
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_02,RQL,17.5055,0.4421,,0.15587,0.03873,0.031932,0.49,0.002048,0.0,0.0,62.37,62.368,17.1907,64.0,0.455813,0.435039,0.0,0.999712,0.5,0.015658,0.031932,OK,0.9325,0.75,0.225,False
S2A_NATURAL_c0007,S2A_NATURAL_01,64,bern50,0.05,10.0,4096,1,stl_02,POISSON-LIN,17.293,0.43599,,0.15423,-0.01256,0.030411,0.49,0.002048,0.0,0.0,2.09,2.094,17.2827,64.0,0.455813,0.435039,0.0,0.999712,0.5,0.014912,0.030411,,,,,
