cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_00,RQL,14.3118,0.18994,,0.32355,0.00057,1.034849,500.12,0.20479999999999998,0.0,0.0,77.64,77.636,14.3127,1.220163,143.750847,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0518,0.125,0.125,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_00,POISSON-LIN,13.8307,0.14916,,0.58215,-0.49991,0.517425,500.12,0.20479999999999998,0.0,0.0,10.76,10.756,9.2108,1.220163,143.750847,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_00,SAT-POISSON,14.3439,0.1888,,0.32236,0.00056,0.258712,500.12,0.20479999999999998,0.0,0.0,5.6,5.602,14.3447,1.220163,143.750847,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_00,PRECORRECT,3.5866,0.02601,,1.1125,0.00015,830993476580.8173,500.12,0.20479999999999998,0.0,0.0,1.58,1.577,3.5854,1.220163,143.750847,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_01,RQL,17.9382,0.25234,,0.26125,-0.00114,1.034849,499.69,0.20479999999999998,0.0,0.0,77.33,77.334,17.9387,1.0,137.190349,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0057,0.4,0.45,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_01,POISSON-LIN,17.1389,0.17175,,0.54885,-0.50033,0.517425,499.69,0.20479999999999998,0.0,0.0,10.73,10.733,11.4909,1.0,137.190349,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_01,SAT-POISSON,17.9273,0.2492,,0.26158,-0.00115,0.258712,499.69,0.20479999999999998,0.0,0.0,5.9,5.903,17.9279,1.0,137.190349,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_01,PRECORRECT,5.1163,0.03316,,1.14197,-0.00126,830993476580.8173,499.69,0.20479999999999998,0.0,0.0,1.62,1.618,5.1269,1.0,137.190349,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_02,RQL,17.1457,0.35715,,0.15667,-0.00036,1.034849,499.88,0.20479999999999998,0.0,0.0,77.41,77.411,17.1464,1.0,138.311757,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0408,0.225,0.075,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_02,POISSON-LIN,15.0732,0.15437,,0.51795,-0.50011,0.517425,499.88,0.20479999999999998,0.0,0.0,11.03,11.033,6.7604,1.0,138.311757,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_02,SAT-POISSON,16.952,0.3419,,0.1602,-0.00038,0.258712,499.88,0.20479999999999998,0.0,0.0,5.85,5.848,16.9529,1.0,138.311757,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_02,PRECORRECT,-0.4829,0.0038,,1.19196,-0.00043,830993476580.8173,499.88,0.20479999999999998,0.0,0.0,1.59,1.59,-0.4791,1.0,138.311757,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_03,RQL,16.9118,0.29552,,0.26272,0.0005,1.034849,500.1,0.20479999999999998,0.0,0.0,77.15,77.154,16.912,1.0,134.493233,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,0.9584,0.775,0.775,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_03,POISSON-LIN,16.3829,0.1911,,0.55383,-0.49989,0.517425,500.1,0.20479999999999998,0.0,0.0,11.44,11.437,10.4342,1.0,134.493233,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_03,SAT-POISSON,16.8847,0.29535,,0.26354,0.00051,0.258712,500.1,0.20479999999999998,0.0,0.0,5.74,5.742,16.8848,1.0,134.493233,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_03,PRECORRECT,3.9699,0.01982,,1.16655,0.00075,830993476580.8173,500.1,0.20479999999999998,0.0,0.0,1.59,1.587,3.9636,1.0,134.493233,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_04,RQL,14.2351,0.12127,,0.4074,0.00013,1.034849,500.01,0.20479999999999998,0.0,0.0,78.33,78.33,14.2351,1.0,140.33791,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,0.9927,0.6,0.775,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_04,POISSON-LIN,14.5466,0.19585,,0.60402,-0.50002,0.517425,500.01,0.20479999999999998,0.0,0.0,10.77,10.769,10.8146,1.0,140.33791,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_04,SAT-POISSON,14.3716,0.14414,,0.40105,0.00011,0.258712,500.01,0.20479999999999998,0.0,0.0,5.64,5.641,14.3716,1.0,140.33791,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_04,PRECORRECT,5.4677,0.04608,,1.11853,0.00065,830993476580.8173,500.01,0.20479999999999998,0.0,0.0,1.59,1.585,5.4626,1.0,140.33791,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_05,RQL,15.6075,0.13852,,0.3898,0.00027,1.034849,500.03,0.20479999999999998,0.0,0.0,77.11,77.113,15.6077,1.106527,142.015701,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0432,0.15,0.425,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_05,POISSON-LIN,15.6148,0.16458,,0.60734,-0.49994,0.517425,500.03,0.20479999999999998,0.0,0.0,10.95,10.946,11.756,1.106527,142.015701,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_05,SAT-POISSON,15.6139,0.13946,,0.38952,0.00026,0.258712,500.03,0.20479999999999998,0.0,0.0,5.66,5.658,15.6141,1.106527,142.015701,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_05,PRECORRECT,6.5393,0.04727,,1.10731,0.0,830993476580.8173,500.03,0.20479999999999998,0.0,0.0,1.61,1.61,6.5392,1.106527,142.015701,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_06,RQL,14.1633,0.15474,,0.38152,0.00067,1.034849,500.14,0.20479999999999998,0.0,0.0,78.47,78.47,14.1643,1.183487,143.190823,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0658,0.1,0.625,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_06,POISSON-LIN,13.976,0.17836,,0.61,-0.49988,0.517425,500.14,0.20479999999999998,0.0,0.0,10.63,10.631,10.0882,1.183487,143.190823,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_06,SAT-POISSON,14.1716,0.15469,,0.38116,0.00067,0.258712,500.14,0.20479999999999998,0.0,0.0,5.79,5.79,14.1727,1.183487,143.190823,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_06,PRECORRECT,4.8475,0.02971,,1.11559,0.00038,830993476580.8173,500.14,0.20479999999999998,0.0,0.0,1.61,1.608,4.8446,1.183487,143.190823,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_07,RQL,15.4378,0.2892,,0.37712,0.00018,1.034849,500.04,0.20479999999999998,0.0,0.0,77.34,77.335,15.4385,1.355305,145.814366,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,0.9683,0.725,0.5,False
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_07,POISSON-LIN,14.6938,0.21747,,0.63014,-0.50003,0.517425,500.04,0.20479999999999998,0.0,0.0,10.7,10.704,10.9793,1.355305,145.814366,125.119792,1.3e-05,0.99969,0.5,0.253722,0.517425,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_07,SAT-POISSON,15.3861,0.27925,,0.37938,0.00014,0.258712,500.04,0.20479999999999998,0.0,0.0,5.81,5.811,15.3866,1.355305,145.814366,125.119792,1.3e-05,0.99969,0.5,0.126861,0.258712,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_07,PRECORRECT,6.5188,0.03894,,1.05313,5e-05,830993476580.8173,500.04,0.20479999999999998,0.0,0.0,1.59,1.588,6.5185,1.355305,145.814366,125.119792,1.3e-05,0.99969,0.5,407482778491.85046,830993476580.8173,,,,,
S2A_NATURAL_c0174,S2A_NATURAL_31,64,bern50,1.0,1000.0,4096,3,stl_08,RQL,14.8579,0.21514,,0.43261,0.00079,1.034849,500.14,0.20479999999999998,0.0,0.0,77.47,77.467,14.8606,1.655763,150.402149,125.119792,1.3e-05,0.99969,0.5,0.507445,1.034849,OK,1.0269,0.225,1.0,False
