cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_0,RQL,8.2889,0.05756,,0.8256,-0.00434,0.100839,4.74,0.020479999999999998,0.0,0.0,66.02,66.008,8.2888,15.536293,4.400372,4.322308,5e-06,0.999693,0.5,0.049447,0.100839,OK,0.9255,0.95,0.5,False
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_0,POISSON-LIN,8.259,0.05461,,0.82896,-0.05155,0.096037,4.74,0.020479999999999998,0.0,0.0,4.35,4.35,8.2536,15.536293,4.400372,4.322308,5e-06,0.999693,0.5,0.047092,0.096037,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_0,SAT-POISSON,8.2586,0.05456,,0.82848,-0.00431,0.091464,4.74,0.020479999999999998,0.0,0.0,4.34,4.338,8.2586,15.536293,4.400372,4.322308,5e-06,0.999693,0.5,0.04485,0.091464,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_0,PRECORRECT,6.6242,0.00324,,1.0,-1.0,560851213062.4373,4.74,0.020479999999999998,0.0,0.0,1.62,1.616,6.6242,15.536293,4.400372,4.322308,5e-06,0.999693,0.5,275016852791.1189,560851213062.4373,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_0,GI,5.4391,0.02509,,,,,4.74,0.020479999999999998,0.0,0.0,0.08,,,,,,,,,,,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_1,RQL,10.9503,0.34825,,0.86924,-0.01438,0.100839,4.7,0.020479999999999998,0.0,0.0,66.39,66.393,10.9488,1.0,4.189095,4.322308,5e-06,0.999693,0.5,0.049447,0.100839,OK,1.0239,0.35,0.775,False
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_1,POISSON-LIN,10.8627,0.33982,,0.87839,-0.06066,0.096037,4.7,0.020479999999999998,0.0,0.0,3.83,3.831,10.8579,1.0,4.189095,4.322308,5e-06,0.999693,0.5,0.047092,0.096037,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_1,SAT-POISSON,10.8614,0.33968,,0.87807,-0.01436,0.091464,4.7,0.020479999999999998,0.0,0.0,5.05,5.046,10.8611,1.0,4.189095,4.322308,5e-06,0.999693,0.5,0.04485,0.091464,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_1,PRECORRECT,9.7316,0.01431,,1.0,-1.0,560851213062.4373,4.7,0.020479999999999998,0.0,0.0,1.67,1.665,9.7316,1.0,4.189095,4.322308,5e-06,0.999693,0.5,275016852791.1189,560851213062.4373,,,,,
S2A_DETAIL_c0023,S2A_DETAIL_03,64,bern50,0.05,100.0,4096,2,detail_glyph_1,GI,8.8731,0.01762,,,,,4.7,0.020479999999999998,0.0,0.0,0.08,,,,,,,,,,,,,,,
