cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_00,RQL,12.8815,0.15753,,0.38148,0.00937,0.201363,18.85,0.010239999999999999,0.0,0.0,68.57,68.561,12.8819,1.0,7.259514,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.1148,0.025,0.575,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_00,POISSON-LIN,13.1645,0.15894,,0.50752,-0.37135,0.125852,18.85,0.010239999999999999,0.0,0.0,9.28,9.277,10.4024,1.0,7.259514,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_00,SAT-POISSON,12.6516,0.15201,,0.39179,0.00936,0.078658,18.85,0.010239999999999999,0.0,0.0,4.67,4.674,12.6504,1.0,7.259514,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,1.4824067959087518e+19,18.85,0.010239999999999999,0.0,0.0,1.65,1.647,4.5114,1.0,7.259514,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_01,RQL,17.8537,0.25299,,0.2639,0.00387,0.201363,18.79,0.010239999999999999,0.0,0.0,68.83,68.826,17.8513,9.293733,7.73544,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.0097,0.375,0.75,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_01,POISSON-LIN,17.5208,0.2487,,0.44705,-0.37347,0.125852,18.79,0.010239999999999999,0.0,0.0,9.89,9.892,13.2729,9.293733,7.73544,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_01,SAT-POISSON,18.056,0.24825,,0.25778,0.0039,0.078658,18.79,0.010239999999999999,0.0,0.0,5.22,5.221,18.0551,9.293733,7.73544,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,1.4824067959087518e+19,18.79,0.010239999999999999,0.0,0.0,1.69,1.688,6.28,9.293733,7.73544,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_02,RQL,17.8703,0.43004,,0.1444,0.00719,0.201363,18.83,0.010239999999999999,0.0,0.0,68.61,68.614,17.855,1.0,7.430422,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,0.9608,0.9,0.15,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_02,POISSON-LIN,17.0225,0.36822,,0.39605,-0.37216,0.125852,18.83,0.010239999999999999,0.0,0.0,9.19,9.186,9.0912,1.0,7.430422,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_02,SAT-POISSON,18.0687,0.46785,,0.14108,0.00727,0.078658,18.83,0.010239999999999999,0.0,0.0,4.91,4.908,18.0568,1.0,7.430422,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,1.4824067959087518e+19,18.83,0.010239999999999999,0.0,0.0,1.66,1.655,1.0461,1.0,7.430422,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_03,RQL,15.3377,0.3243,,0.31493,0.00691,0.201363,18.83,0.010239999999999999,0.0,0.0,68.46,68.456,15.3375,1.358983,7.465486,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,0.956,0.9,0.9,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_03,POISSON-LIN,15.4665,0.32193,,0.4711,-0.37228,0.125852,18.83,0.010239999999999999,0.0,0.0,8.98,8.977,11.8394,1.358983,7.465486,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_03,SAT-POISSON,15.0179,0.32837,,0.32679,0.00686,0.078658,18.83,0.010239999999999999,0.0,0.0,4.94,4.938,15.0162,1.358983,7.465486,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,1.4824067959087518e+19,18.83,0.010239999999999999,0.0,0.0,1.66,1.657,5.3017,1.358983,7.465486,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_04,RQL,13.9254,0.10122,,0.42222,0.00486,0.201363,18.8,0.010239999999999999,0.0,0.0,68.28,68.281,13.9248,1.0,7.440184,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.0423,0.125,0.375,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_04,POISSON-LIN,13.9133,0.09955,,0.54033,-0.37307,0.125852,18.8,0.010239999999999999,0.0,0.0,8.78,8.78,11.7823,1.0,7.440184,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_04,SAT-POISSON,13.9327,0.10175,,0.42186,0.00486,0.078658,18.8,0.010239999999999999,0.0,0.0,3.98,3.979,13.9321,1.0,7.440184,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_04,PRECORRECT,6.4356,0.00011,,1.0,-1.0,1.4824067959087518e+19,18.8,0.010239999999999999,0.0,0.0,1.63,1.626,6.4356,1.0,7.440184,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_05,RQL,14.2219,0.09772,,0.45728,0.00612,0.201363,18.82,0.010239999999999999,0.0,0.0,69.11,69.107,14.2209,8.126779,7.695738,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.0053,0.4,0.475,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_05,POISSON-LIN,14.1657,0.09712,,0.56425,-0.37261,0.125852,18.82,0.010239999999999999,0.0,0.0,9.39,9.387,12.3951,8.126779,7.695738,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_05,SAT-POISSON,14.2319,0.09805,,0.45675,0.00614,0.078658,18.82,0.010239999999999999,0.0,0.0,4.61,4.606,14.231,8.126779,7.695738,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_05,PRECORRECT,7.4246,0.00954,,1.0,-1.0,1.4824067959087518e+19,18.82,0.010239999999999999,0.0,0.0,1.65,1.651,7.4246,8.126779,7.695738,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_06,RQL,12.4543,0.11555,,0.46458,0.00689,0.201363,18.83,0.010239999999999999,0.0,0.0,68.63,68.634,12.4535,2.188142,7.493695,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.0055,0.4,0.875,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_06,POISSON-LIN,12.4777,0.11557,,0.56626,-0.37231,0.125852,18.83,0.010239999999999999,0.0,0.0,9.01,9.007,10.7345,2.188142,7.493695,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_06,SAT-POISSON,12.3168,0.11248,,0.47202,0.00686,0.078658,18.83,0.010239999999999999,0.0,0.0,5.08,5.081,12.3156,2.188142,7.493695,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_06,PRECORRECT,5.7947,0.00014,,1.0,-1.0,1.4824067959087518e+19,18.83,0.010239999999999999,0.0,0.0,1.64,1.64,5.7947,2.188142,7.493695,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_07,RQL,12.6877,0.23234,,0.51744,0.00621,0.201363,18.82,0.010239999999999999,0.0,0.0,68.21,68.209,12.6909,7.763303,7.683372,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,0.9511,0.925,0.175,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_07,POISSON-LIN,13.2393,0.22851,,0.59657,-0.37254,0.125852,18.82,0.010239999999999999,0.0,0.0,9.32,9.318,11.4549,7.763303,7.683372,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_07,SAT-POISSON,12.2805,0.23058,,0.54243,0.00626,0.078658,18.82,0.010239999999999999,0.0,0.0,5.18,5.176,12.2812,7.763303,7.683372,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_07,PRECORRECT,6.9681,0.00479,,1.0,-1.0,1.4824067959087518e+19,18.82,0.010239999999999999,0.0,0.0,1.64,1.639,6.9681,7.763303,7.683372,7.41925,1e-06,0.999689,0.5,7.269073188607071e+18,1.4824067959087518e+19,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_08,RQL,11.8782,0.13817,,0.60975,0.00296,0.201363,18.78,0.010239999999999999,0.0,0.0,68.61,68.612,11.8796,1.0,7.34403,7.41925,1e-06,0.999689,0.5,0.09874,0.201363,OK,1.0553,0.075,0.125,False
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_08,POISSON-LIN,12.2301,0.14788,,0.67105,-0.37381,0.125852,18.78,0.010239999999999999,0.0,0.0,9.66,9.659,11.0475,1.0,7.34403,7.41925,1e-06,0.999689,0.5,0.061712,0.125852,,,,,
S2A_NATURAL_c0106,S2A_NATURAL_18,64,bern50,0.6,50.0,4096,0,stl_08,SAT-POISSON,11.3787,0.1283,,0.64594,0.00302,0.078658,18.78,0.010239999999999999,0.0,0.0,5.64,5.641,11.3787,1.0,7.34403,7.41925,1e-06,0.999689,0.5,0.03857,0.078658,,,,,
