cell_id,shard_id,side,pattern,rho_bar,nu,M,seed,image,arm,PSNR,SSIM,LPIPS,rad_nrmse,flux_dev,lam_tv,mean_counts,optical_time_s,dark_frac,tau_err,runtime_s,select_runtime_s,PSNR_rad,C_hat,S_N2,V0_exact,muprime0_exact,omega_A,c_used,sigma_grad_arm,lambda_tv_arm,audit_status,d_ratio,q_d,q_mean,leak_suspect
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_00,RQL,12.5777,0.15016,,0.39533,0.01592,0.045161,0.97,0.004096,0.0,0.0,62.33,62.324,12.5723,1.0,0.86439,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,0.9869,0.575,0.275,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_00,POISSON-LIN,12.6261,0.15146,,0.39419,-0.0332,0.043011,0.97,0.004096,0.0,0.0,3.46,3.454,12.5973,1.0,0.86439,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_00,SAT-POISSON,12.62,0.15151,,0.39338,0.01594,0.040963,0.97,0.004096,0.0,0.0,3.32,3.314,12.6152,1.0,0.86439,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_00,PRECORRECT,4.5114,0.00013,,1.0,-1.0,60551755072.769325,0.97,0.004096,0.0,0.0,1.63,1.634,4.5114,1.0,0.86439,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_01,RQL,18.0807,0.24903,,0.25732,0.01297,0.045161,0.96,0.004096,0.0,0.0,61.81,61.812,18.0706,64.0,0.903024,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,1.0112,0.375,0.775,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_01,POISSON-LIN,18.0838,0.24914,,0.25928,-0.03589,0.043011,0.96,0.004096,0.0,0.0,2.89,2.89,18.0048,64.0,0.903024,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_01,SAT-POISSON,18.0807,0.24913,,0.25732,0.01296,0.040963,0.96,0.004096,0.0,0.0,2.84,2.838,18.0706,64.0,0.903024,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_01,PRECORRECT,6.28,0.00011,,1.0,-1.0,60551755072.769325,0.96,0.004096,0.0,0.0,1.65,1.649,6.28,64.0,0.903024,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_02,RQL,17.4823,0.46067,,0.15259,-0.02771,0.045161,0.93,0.004096,0.0,0.0,62.03,62.032,17.3757,1.0,0.812061,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,1.0298,0.3,0.325,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_02,POISSON-LIN,17.3145,0.46072,,0.16789,-0.07282,0.043011,0.93,0.004096,0.0,0.0,2.24,2.235,16.5456,1.0,0.812061,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_02,SAT-POISSON,17.4234,0.45976,,0.15354,-0.02771,0.040963,0.93,0.004096,0.0,0.0,2.23,2.23,17.3219,1.0,0.812061,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_02,PRECORRECT,1.0461,6e-05,,1.0,-1.0,60551755072.769325,0.93,0.004096,0.0,0.0,1.65,1.646,1.0461,1.0,0.812061,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_03,RQL,15.3096,0.33061,,0.31594,0.0073,0.045161,0.96,0.004096,0.0,0.0,61.78,61.776,15.3097,4.46561,0.867858,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,1.0367,0.225,0.8,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_03,POISSON-LIN,15.3265,0.33071,,0.31816,-0.04102,0.043011,0.96,0.004096,0.0,0.0,2.97,2.967,15.2489,4.46561,0.867858,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_03,SAT-POISSON,15.2831,0.33033,,0.31691,0.0073,0.040963,0.96,0.004096,0.0,0.0,2.88,2.875,15.283,4.46561,0.867858,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_03,PRECORRECT,5.3017,0.00018,,1.0,-1.0,60551755072.769325,0.96,0.004096,0.0,0.0,1.62,1.617,5.3017,4.46561,0.867858,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_04,RQL,14.0043,0.09863,,0.41886,0.02374,0.045161,0.97,0.004096,0.0,0.0,62.15,62.145,13.9941,1.0,0.83284,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,1.1628,0.025,0.025,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_04,POISSON-LIN,13.9962,0.0989,,0.41949,-0.02613,0.043011,0.97,0.004096,0.0,0.0,3.6,3.601,13.9811,1.0,0.83284,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_04,SAT-POISSON,13.9871,0.09908,,0.41971,0.02375,0.040963,0.97,0.004096,0.0,0.0,3.55,3.554,13.9766,1.0,0.83284,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_04,PRECORRECT,6.4356,0.00011,,1.0,-1.0,60551755072.769325,0.97,0.004096,0.0,0.0,1.64,1.639,6.4356,1.0,0.83284,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_05,RQL,14.2577,0.09958,,0.45548,-0.01259,0.045161,0.94,0.004096,0.0,0.0,62.18,62.181,14.2553,64.0,0.882349,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,0.8875,1.0,0.05,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_05,POISSON-LIN,14.2641,0.09975,,0.45801,-0.05908,0.043011,0.94,0.004096,0.0,0.0,2.84,2.835,14.2072,64.0,0.882349,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_05,SAT-POISSON,14.2653,0.09956,,0.45508,-0.01261,0.040963,0.94,0.004096,0.0,0.0,2.8,2.796,14.2628,64.0,0.882349,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_05,PRECORRECT,7.4246,0.00954,,1.0,-1.0,60551755072.769325,0.94,0.004096,0.0,0.0,1.63,1.633,7.4246,64.0,0.882349,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_06,RQL,12.66,0.11562,,0.45363,0.00565,0.045161,0.96,0.004096,0.0,0.0,62.21,62.205,12.6607,64.0,0.888551,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,1.0072,0.45,0.2,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_06,POISSON-LIN,12.4621,0.11504,,0.46582,-0.04248,0.043011,0.96,0.004096,0.0,0.0,3.31,3.305,12.4303,64.0,0.888551,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_06,SAT-POISSON,12.6598,0.1153,,0.45364,0.00565,0.040963,0.96,0.004096,0.0,0.0,2.4,2.403,12.6606,64.0,0.888551,0.866957,1e-06,0.999694,0.5,0.020086,0.040963,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_06,PRECORRECT,5.7947,0.00014,,1.0,-1.0,60551755072.769325,0.96,0.004096,0.0,0.0,1.63,1.631,5.7947,64.0,0.888551,0.866957,1e-06,0.999694,0.5,29691926705.769302,60551755072.769325,,,,,
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_07,RQL,12.0797,0.22642,,0.55523,0.00945,0.045161,0.96,0.004096,0.0,0.0,61.95,61.946,12.0786,64.0,0.892669,0.866957,1e-06,0.999694,0.5,0.022145,0.045161,OK,0.9827,0.625,0.925,False
S2A_NATURAL_c0013,S2A_NATURAL_02,64,bern50,0.05,20.0,4096,2,stl_07,POISSON-LIN,12.0144,0.22454,,0.56007,-0.03905,0.043011,0.96,0.004096,0.0,0.0,2.55,2.548,12.0032,64.0,0.892669,0.866957,1e-06,0.999694,0.5,0.021091,0.043011,,,,,
